repository_relative_path,scope,git_blob_oid,sha256,artifact_class,source,source_revision,rights_evidence_reference,modifications_made_by_project,required_notices,current_tree_disposition,historical_retention_disposition,privacy_security_disposition,decision_authority_role,decision_record_id,review_date
MODEL_CARD.md,current_tree,ed83c45841d4b80e1937d3ea8b13ed02a7685968,44791e44a662dc22f4237faccdcb1fad95760833126fc733b1aa1c0b77fbdfda,documentation,Leonardo_project_work_with_AI_assistance,ed83c45841d4b80e1937d3ea8b13ed02a7685968,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
NOTICE,current_tree,ff4d663095493aa748b6738d5dbd8396a9b19065,78f566693f1ddac56790b9defc28362d241953212c9795394babbde74e2bb8ea,license_or_notice,Leonardo_project_work_with_AI_assistance,ff4d663095493aa748b6738d5dbd8396a9b19065,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
README.md,current_tree,ec0929347a1097fe5289d8917af299f846a030fb,a66ae2dfb9ea23a35e587173cdc6bd99b883c197b9ec96f5e9a1ea20006c95b9,documentation,Leonardo_project_work_with_AI_assistance,ec0929347a1097fe5289d8917af299f846a030fb,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
REPRODUCIBILITY.md,current_tree,3ea7220815b16ba613623d22602250015c722fac,82c05962d239134bee921df5b6fbd0208e6d2b7af0679d1ba2a770e08c586b31,documentation,Leonardo_project_work_with_AI_assistance,3ea7220815b16ba613623d22602250015c722fac,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/evaluation_prompts.json,current_tree,d70b897a1284a1fc9291feef2eeba671f30396af,f55f2fc1a9f650ba8a000d297bf955b8721851af95e50a651007b56ce929432f,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_3b_judge_gate.json,current_tree,130d0fd9f5048106af377b8feb372711677474a4,b04bcad0bbd58110242bd2e25a5ec90056a384b47d0f68865b9ad2cd928078f6,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_3b_validation_sanity_prompts.json,current_tree,5b522be0411b263da6c73270d7ca6defdcb76eb4,8d451030331c2ccd104e0ff9a4c24253f54fd27b3a956120192ebc28db5b62f7,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_full_weight_calibration.json,current_tree,10db029b47cb706a31511cff4f5770897581e2c1,aab13eca71e1e6084497deed6cd1e1642fca1c039ebaf344c267d68117435166,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_parent_decoding_confirmation.json,current_tree,88860333a81611e298f9f0918a36e50c502cab6c,25104abefd9550ca93d54aa241cb4cba6995b973d8b83b654d6d545d9b44ebcb,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_parent_decoding_confirmation_prompts.json,current_tree,640cb8c84d75ef94028ee70bec3714d7f098d272,98f429aeb04c4491517b3e1c218d21a98596476d163c87d62f3d09d535ea70e5,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_preservation_prompts.json,current_tree,cbb4587162cc437b72a1ab31c9ae65bc72ee3a29,1b8b3ed6d88d0cf87cd544f1c821826b51fd55dc98a633369072a209b0d90bf0,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_quality_recovery.json,current_tree,89ebb8e1cafebb7a09e2076fb23885b805642c04,258f83fd5772fc3ec0183b55209cd8d34724b82fed9cf76a6b0217b6eda063d5,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_quality_recovery_prompts.json,current_tree,570858bf69f0452e423d694802622ae34713885f,25a6e70babf20a10722ca171fddb087c5052c4d54624017283ada864616d0856,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v6_selected_adapter.json,current_tree,b015eb5c6cca0ca0349277808bd6b554eb0161cb,4c9e7da2b94717a004c1a8c3bfc5f883e0889e73e442450272677dbddccea6da,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_ai_judged_dpo.json,current_tree,f3a45416835c4fa6bbd06c6a407df184bc6514ae,0724ce01fec5d514ec50bfe1e4cf9d6e1d2d33962aa861d538e9abc589312aea,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_dpo_preferences.json,current_tree,38dcbd51d9424e341b5a632daa8840e7c22dd069,d4abea95886a6f6c2d1dba5804c30b70910896b4369861810034f9c53deb9a40,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_embedding_tokens.json,current_tree,cd79301edccccf3099d1d0875514de9fcb738f85,439a90cd6721dc19121a180c2f46782588bdd880b7eaa5c7686ae1663ddbbf54,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_execution.json,current_tree,7a990804daeac5b25cddda80732a64dc9657281e,6be2481b171c880224b62fbe1c65c6a8bcf2946463b5b0b12275c51db745e36a,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_exploratory_prompts.json,current_tree,8643306113e70c4ac4571d9d67e5c1f54aee3c12,2f33aa518aa61c11193831e53b07fd3bd861a72bf68bb23c0e0e5b1a13b1d0c7,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_full_weight_protocol.json,current_tree,c12b7b88f4346e581d0bd0d9158afeaaec20b948,4c24868febe95ea064176fd7868a5515d8bf121f521401f33b3374e1c1736c8a,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_hardware_qualification.json,current_tree,895ac0e42000a95c9af167c2a500ef15abbcdfb4,06b351d6a691c3417e7d0e01f7387f9801563d6046a002569352f284f6e43d01,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_high_volume_generation.json,current_tree,57bbd262efe087c3670b99f66e7754ac9d5fc44f,6dd4432288962fddee10c10ecc03f15c02ed521da68dfe4ad456562db2d4754c,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_research.json,current_tree,4f3b992063915d7c8e200dbd9f4c659c4938ba2c,4cb1db93390c3fdd54c494f9ddab984a7caa9c3b0a86c048dba82550603e5d04,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_single_h100_launch.json,current_tree,aa04930c9deba60006224533a20bc2f85d23d6d9,13218597c3f4261cb802c30e5c36d2f8b242d9ff1f4a0ae42b69d8604df98855,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_single_h100_qualification.json,current_tree,6f4c25969083a377f5693c402146b404f8a46da7,e20346be4ab7b0a90026cabbcb4139d7c28f9549ad0d45f0ad03507da1dd1566,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_stage_3_no_labels_creative.json,current_tree,1a2c70d417ae7b354f2c13f0d7dece32943c2b99,38bef97372032ce7aac16ab971bdbe5584dc258abac5a79a29384d9826d9a7a8,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/minerva_7b_v7_stage_3_prompt_intervention.json,current_tree,c6d1a23c559efbf495fa3dbabc432cf043ef8a76,69dccc63d600d07bbccf572082d89f7c07554ce4de319e59e21083bda4eb2c41,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/paisa_historical_rescue_v1.json,current_tree,3cb7a5d54e2b21a24988b6323e40926b4b084c3a,ebe07d51a5aa633c12cf11ad672b0cf32a0df32fa83e4d874f5ab02ea65d816d,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/pretraining_checkpoint_neighborhoods.json,current_tree,0b7ed9f4a413c1b460b0703c7f9c16ff541f0593,8bc251bfee0738ba2795fb9a650bd03dddaffc2052dcabf31379db961b4a8ce2,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/pretraining_historical_italian_v2_xxl_checkpoint_comparison.json,current_tree,e9a35bea1feadeb84727f62f7e7a03cf81ba2fdb,d473b51244c6e873ef74959cc576e97e0b78e9de76f216b962c3298094fe0239,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
configs/task_format_acceptance_prompts.json,current_tree,8818c9de39b6b6c67fa3bda0d3656720917068f7,e27c74248870bbe72cce4f87cf6563480e42651e991a3135747ee7f13ced5117,configuration,Leonardo_project_work_with_AI_assistance,repository_history,AI_CONTRIBUTIONS.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/attribution_summary.md,current_tree,c5ae59d18c7fd18f8f18a14b7c56ab43b5c080fe,7c2604d051e6495eec56cb99510ed97adace5d0771828d3f74a7161802061f43,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bibit_catalog_origins_through_ottocento_v1.json,current_tree,4f7698e8cd9ba8ae5f2e4aa30cec6009bcd1f773,20a13d7dcff79d2913b739c1e16478c0d55b06986527a8d01fa3e8e03fa304ec,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bibit_historical_attribution.md,current_tree,66e82f20b07fd603884c36e3db75b4e73f0792bd,7010d90dd093db94368f7522b9f8a55ae3206aeffa974cd9868681c0425f39e0,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bibit_historical_composition_decisions.csv,current_tree,34c2ccaf9ecf2a3a92eafb16f9952192a6e31267,bbc1403af684078e3c1cefdbfb142da60c4a118fc03bcdaea425d73413071f96,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bibit_record_activation_decisions.csv,current_tree,2ca4bf482d5f5b02e7431baa24964e4233c7bbd5,92086215dd6a74f7731433c044f5fddf8100374d0772be78bcfffc7720200e8e,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bibit_sonnet_activation_decisions.csv,current_tree,4b801d774ce49968646975a1201aabc2b36d2533,1bdf37715a768ada878bca6530a4f1d85385884b53894a3dfa4f37bd9d0d680e,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bibit_sonnet_candidates_audit.csv,current_tree,d49f392a607cf80488cb03818b44e028682f03d0,d8195c8f82c0e6d8ed000c28b20606d0bf9ccfbe79429c9f7ae277ab98414c17,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bibit_tei_audit_records.csv,current_tree,56ff1f3d2ecd627549d072992dc0b9543c983328,c31737ba04a5469a592415ef665a1f092c679a93cc530264e2087edd18f5c0d2,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/bpe_tokenizer.json,current_tree,7c6c28b5f6cfa0918b9a15a9fc93f6bf7bec67e8,5137234f78f29cbc633300554a76fe1404aa4d92cd6fb1e0dc8fca91252b5a18,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/broader_prose_attribution.md,current_tree,22aca8b90e116e607ead329ddc9ada8d2c88dd62,08c8bff9d6f1e7163e0cb65bb60e8afb3cce5b07398d31ef9e284f1409c26aa1,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/broader_prose_liber_liber_probe_report.json,current_tree,9df80672445a2fb02b05eb640c863675e9f43d5b,2e83b717969b1ca03fbc952bc1127b1c6235be4937a4d26e80c0ac11c47e2c8a,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/broader_prose_probe_report.json,current_tree,a1d610ad00a0bab1dc88a372f73564630d90d069,e7ed85a0e71e72808e99b7c45c64b40e77a3de24616c0a8cb8810766758e7951,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/broader_prose_sources_manifest.csv,current_tree,5801b59b94acef5fc36f328013c20276ab6b1ff2,007abcf67793077eafa30cfc84abc8a9da5ee26704cd5058ed5e11605b149ac6,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/build_report.json,current_tree,7d54b5a47d42a83315452071a9a8561f7f326983,cd7e09dacd5434d8de8e1d91e18cf23fa00d790c87492d3b904a85522f07e837,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_candidate_inventory_v1.csv,current_tree,6d671421d9e70bb7cbba02579dbc9c35fa4f0f9c,665ec2577dc23eca2cf8adb80a9f9ad762d5bae9c838c70f7056822aab5fef69,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_composition_gate_v1.csv,current_tree,e06f0bc6215fa160cf82904d9555fb7fe9df16f6,9c5bd5980ee1835b57258ca6545840d749bab586c5e5148d9f0f7bace9d9bd21,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_discovery_decisions_v1.csv,current_tree,bc1bc7c1999a5b42fa73a3a41e652e930dfe9252,dcffc0e95e0ac259aae4a959d52d5d57c420bd986ccb0d32fed1bf091a17881c,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_discovery_evidence_v1.csv,current_tree,35626d54757fd3aba8e40a1396304a0e99c55b42,7f059f8c0f9968f3f499fd965315eb5df450f2fa8586190fb094bf8906237efd,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_discovery_queries_v1.csv,current_tree,82f787370567e95184f6074fff6ef104180170e4,90af6233c12a44fdff6e8ef12e6e49885a130a3e4db0545dddf0f5f80170830c,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_expansion_registry.csv,current_tree,6d60e01ef064bdb6887f7278db7105524723d5ab,7ee33e0c54ed224069cb1cd685d50ce9a91c9edaf96574eae990709e1d90a1a1,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_inventory_summary_v1.csv,current_tree,efdc85141e831df5635c1ea34a7e7953eed54d7a,5e30a67a80c452cc99c9bb2d1e29dde5a079926f937cc04e71302be5645b2a7c,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_resolution_v1.csv,current_tree,34c309896e907f32f503463d4cae4b3218baa115,8c3eaa2b5f9aeb8471f2bc5bde93a73d6f115f2297961713d4d861861489f331,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/corpus_archive_terms_evidence_v1.csv,current_tree,6e80a929c076ed898307bad32ce6531ee6f4e0bf,2391fd4fa7295fc66f6de1e3b67e6e3023fccee86b51d5f2d39a89535ee9a551,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/cross_archive_canonical_decisions_v1.csv,current_tree,2b1c92193a058c194f8c9eb7d9c12627b2b63eef,72f896cef137bda935b95046d13047cbe2c6a24e538edd4f95e5bf9c30ec230b,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/cross_archive_canonical_review_v1.csv,current_tree,87fc26ed36536f0564d6fd96e923547321273268,4c4387919773fcb7ebbe1b0a4ef204defc34cc6aed5dcb34ad6f52bae68e460d,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/cross_archive_canonical_units_v1.csv,current_tree,1c328d9866a331b86d99e656bce177e745d27898,8cb0604c5463d27a795fa98f86dfa9a52dc6b4c3351e03da0a6c6fa7736e3a16,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/cross_archive_overlap_v1.csv,current_tree,00c128a5f0c56f6b8b031fa42ac13234f99179b7,e34f7b4612ba462d2fd77b832951f6cbbfa6658c16f817881e34199c16fcbafa,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/cross_archive_segment_ranges_v1.csv,current_tree,b23d0131e58d2c688f1313381b3b3c87a98aca41,b6e97d86b28010561c6e7407c20e6c6c4ef6f124c6ca773310c2226c65f28ed1,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/cross_archive_sonnet_routing_v1.csv,current_tree,dcb1ff4f9b3b4d7080f2fca06d614aca28655c66,52a6c43d840765be00a8ac613db2db5037d38cae6aa9aeda6ddfe51282174ebe,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
data/metadata/ilc_ota_overlap_v1.csv,current_tree,402f802975f2029cda835963ec5a04ee7a373289,769c567b22a7a04e5064498ceacade013933b922bfdd6dcefe0176edb58ccecb,data_metadata_or_artifact,mixed_or_third_party_source_needs_review,recorded_in_project_metadata,DATA_SOURCES_AND_ATTRIBUTION.md,needs_review,needs_review,pending_review,pending_review,pending_review,pending_review,pending_review,pending_review
