record_id,title,author,landing_page_url,reference_edition,editor,translator,digitization_credit,layout_credit,publication_credit,revision_credit,license_label,license_url,book_license_terms_url,required_notice,modification_notice,downstream_note,activation_status
ll:2344812,Il Drago e cinque altre novelle per fanciulli,Luigi Capuana,https://liberliber.it/autori/autori-c/luigi-capuana/il-drago-e-cinque-altre-novelle-per-fanciulli/,"Il drago e cinque altre novelle pei fanciulli / Luigi Capuana. - 2. ed. - Torino : G. B. Paravia, 1907. - 95 p. ; 20 cm. - [BNI] 1933 9304.",,,"Paolo Alberti, Catia Righi, Stefano Fascetti",Stefano Fascetti,"Catia Righi, Marco Calvo, http://www.marcocalvo.it/","Livia Bidoli, Ugo Santamaria (ePub)","Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344830,Schiaccianoci ed altri racconti,Luigi Capuana,https://liberliber.it/autori/autori-c/luigi-capuana/schiaccianoci-ed-altri-racconti/,"Schiaccianoci ed altri racconti / Luigi Capuana ; illustrazioni di Carlo Chiostri. - 4. ed. - Firenze : Marzocco, 1940. - 199 p. : ill. ; 19 cm. - (Biblioteca Marzocco per i ragazzi).)",,,Paolo Alberti,Paolo Alberti,Claudio Paganelli,Elena Macciocu,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344833,Tutte le fiabe,Luigi Capuana,https://liberliber.it/autori/autori-c/luigi-capuana/tutte-le-fiabe/,"Tutte le fiabe / Luigi Capuana ; introduzione di Giulio Cattaneo. – Roma : Newton, 1992. - 594 p. ; 22 cm",,,"Stefano D'Urso, Edda Valsecchi","Stefano D'Urso, Edda Valsecchi, Claudio Paganelli","Maria Mataluno, Claudio Paganelli, Claudia Pantanetti","Stefano D'Urso, Edda Valsecchi, Claudio Paganelli","Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344942,Sonetti,Angelo Cenni,https://liberliber.it/autori/autori-c/angelo-cenni/sonetti/,"Sonetti del Burchiello del Bellincioni e d'altri poeti fiorentini alla burchiellesca. - In Londra [i. e. Lucca ; Pisa], 1757. - VIII, XVI, 295, [1], XX, 80 p., [2] c. di tav. : front. e ritr. calcogr. ; 8°.",,,Andrea Pedrazzini,Andrea Pedrazzini,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344960,L'eredità Ferramonti,Gaetano Carlo Chelli,https://liberliber.it/autori/autori-c/gaetano-carlo-chelli/leredita-ferramonti/,"L'eredità Ferramonti / Gaetano Carlo Chelli ; nota introduttiva di Roberto Bigazzi. - Torino : Einaudi, 1972. - XXIX, 210 p. ; 20 cm. - (Centopagine ; 19).) - [BNI] 731683.",,,"Clelia Mussari, Marina De Stasio, Claudio Paganelli","Clelia Mussari, Marina De Stasio, Claudio Paganelli",Marco Calvo,"Clelia Mussari, Marina De Stasio, Claudio Paganelli","Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2344978,Fiabe abruzzesi,Domenico Ciampoli,https://liberliber.it/autori/autori-c/domenico-ciampoli/fiabe-abruzzesi/,"Fiabe abruzzesi / Domenico Ciampoli. - Lecce : S. Ammirato, 1880. - 81 p. ; 18 cm. - Contiene: La rupe della Zita ; La maggiorana ; Asilo ; Il poema di Corradino ; Il duca zoppo..",,,Andrea Pedrazzini,Andrea Pedrazzini,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2345024,I ragazzi grandi,Carlo Collodi (alias Carlo Lorenzini),https://liberliber.it/autori/autori-c/carlo-collodi-alias-carlo-lorenzini/i-ragazzi-grandi/,"I ragazzi grandi / Carlo Collodi ; a cura di Daniela Marcheschi ; con una nota di Carlo A. Madrignani. - Palermo : Sellerio, 1989. - 130 p. ; 17 cm. - (La memoria ; 202).) - [BNI] 91-10591.",Daniela Marcheschi,,Edda Valsecchi,Edda Valsecchi,Marco Calvo,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2345025,Storie allegre,Carlo Collodi (alias Carlo Lorenzini),https://liberliber.it/autori/autori-c/carlo-collodi-alias-carlo-lorenzini/storie-allegre/,"Fiabe e racconti : i racconti delle fate, Le avventure di Pinocchio, Storie allegre / Carlo Collodi. - Roma : Grandi tascabili economici Newton, 1992. - 428 p. ; 22 cm.. - (Grandi tascabili economici ; 173)",,,Stefano D'Urso,Stefano D'Urso,Marco Calvo,Stefano D'Urso,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2345481,Gli elogi del porco,Giuseppe Ferrari [1720 - 1773],https://liberliber.it/autori/autori-f/giuseppe-ferrari-1720-1773/gli-elogi-del-porco/,"Gli elogi del porco capitoli berneschi di Tigrinto Bistonio p. a., e accademico ducale de' Dissonanti di Modena - In Modena : per gli eredi di Bartolomeo Soliani stampatori ducali, 1761 - XLVIII p. ; 4o [( Nome reale dell'autore: Giuseppe Ferrari (si ricava dal testo) , Prefazione di Carlo Antonio Giardini , Dedicatoria dell'A. a Giambattista Arnaldi, Contiene anche: Lettera dell'A. all'abate Frugoni, con risposta di quest'ultimo, Front. in rosso e nero, Vignetta sul fronte, Segn.: A-C8, Iniziali xil )]",,,Sergio Lasi,,"Claudio Paganelli, Claudia Pantanetti",Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2345554,Il mistero del poeta,Antonio Fogazzaro,https://liberliber.it/autori/autori-f/antonio-fogazzaro/il-mistero-del-poeta/,"Il mistero del poeta : romanzo / Antonio Fogazzaro. - Milano : G. Galli, 1888. - 379 p. ; 19 cm.. - (Raccolta dei migliori romanzi italiani moderni)",,,Distributed Proofreaders,"Claudio Paganelli, Mauro Saveri (ePub) Carlo F. Traverso (revisione ePub)","Claudio Paganelli, Ugo Santamaria (ePub)",Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2346352,L'arte di prender marito,Paolo Mantegazza,https://liberliber.it/autori/autori-m/paolo-mantegazza/larte-di-prender-marito-per-far-seguito-a-larte-di-prender-moglie/,"L'arte di prender marito : per far seguito a ""L'arte di prender moglie"" / Paolo Mantegazza. - Milano : Fratelli Treves, 1894. - 255 p. ; 16 cm..",,,"Distributed proofreaders, https://www.pgdp.net/",Claudio Paganelli,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2346651,L'indomani,Neera (alias Anna Radius Zuccari),https://liberliber.it/autori/autori-n/neera-alias-anna-radius-zuccari/lindomani/,"L'indomani / Neera. - Milano : Libr. Edit. Galli di Chiesa e Guindani, 1889 (Tip. Lombardi). - VIII, 215 p. ; 20 cm.. - CUBI 408171. - [BNI] 1889 4705.",,,"Distributed Proofreaders, https://www.pgdp.net/ Claudio Paganelli",,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2346657,Teresa,Neera (alias Anna Radius Zuccari),https://liberliber.it/autori/autori-n/neera-alias-anna-radius-zuccari/teresa/,"Teresa / Neera ; nota introduttiva di Luigi Baldacci. - Torino : Einaudi, [1976]. - XIV, 208 p. ; 20 cm.. - (Centopagine ; 42). - [BNI] 781881.",,,Clelia Mussari,,"Marco Calvo, https://www.marcocalvo.it/","Marina De Stasio, Claudio Paganelli","Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2346835,Le novelle della nonna,Emma Perodi,https://liberliber.it/autori/autori-p/emma-perodi/le-novelle-della-nonna/,"""Le novelle della nonna"" di Emma Perodi Newton Compton Editori s.r.l., Roma, 1992. Grandi Tascabili Economici n. 175",,,Stefano D'Urso,"Stefano D'Urso, Catia Righi","Stefano D'Urso, Catia Righi",Stefano D'Urso,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2346867,L'assassinio nel vicolo della luna,Jarro (alias Giulio Piccini),https://liberliber.it/autori/autori-j/jarro-alias-giulio-piccini/lassassinio-nel-vicolo-della-luna/,"L'assassinio nel vicolo della luna: romanzo / di Jarro (Giulio Piccini) - Milano: Treves, 1891 - XII, 237 p. ; 18 cm",,,Sergio Lasi,,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2346990,Il Milione,Marco Polo,https://liberliber.it/autori/autori-p/marco-polo/il-milione/,"""Il Milione"" di Marco Polo; prefazione di Giorgio Manganelli; a cura di Antonio Lanza; tavole di Fabrizio Clerici;L'Unita - Editori riuniti; Roma, 1981 Edizione fuori commercio riservata agli abbonati per l'anno 1982",Antonio Lanza,,"Claudio Paganelli, Ugo Santamaria",Ugo Santamaria,"Claudio Paganelli, Rosario Di Mauro (ePub) Ugo Santamaria","Claudio Paganelli, Ugo Santamaria","Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2347103,La scuola di Linda,Regina di Luanto (alias Anna Guendalina Lipparini sposata Roti),https://liberliber.it/autori/autori-r/regina-di-luanto-alias-anna-guendalina-lipparini-sposata-roti/la-scuola-di-linda/,"La scuola di Linda : Romanzo / Regina di Luanto. Torino : L. Roux e C. Edit., 1894 - 16. p. 376",,,Paolo Alberti,Paolo Alberti,Claudio Paganelli,Edda Valsecchi,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2347298,Le novelle marinaresche di mastro Catrame,Emilio Salgari,https://liberliber.it/autori/autori-s/emilio-salgari/le-novelle-marinaresche-di-mastro-catrame/,"Le novelle marinaresche di mastro Catrame / Emilio Salgari. - Torino : Einaudi, [1973]. - 117 p. : ill. ; 24 cm. - (Libri per ragazzi ; 33).)",,,Gigi Zazzera,,Claudio Paganelli,Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
ll:2347301,I pirati della Malesia,Emilio Salgari,https://liberliber.it/autori/autori-s/emilio-salgari/i-pirati-della-malesia/,"I pirati della Malesia / Emilio Salgari ; a cura di Sergio Campailla. - Ed. integrale. - Roma : Newton, 1994. - 221 p. : ill. ; 22 cm. - (Biblioteca economica Newton. Sezione ragazzi ; 12)",Sergio Campailla,,Claudio Paganelli,Marco Totolo Carlo F. Traverso (revisione ePub),"Claudio Paganelli, Ugo Santamaria",Claudio Paganelli,"Creative Commons ""Attribuzione - Non commerciale - Condividi allo stesso modo 4.0 Internazionale""",https://creativecommons.org/licenses/by-nc-sa/4.0/,https://liberliber.it/opere/libri/licenze/,Credit Liber Liber and named edition contributors; retain source link and CC BY-NC-SA 4.0 notice.,"Liber Liber wrappers removed; canonical, protected, and isolated-sonnet spans removed where ledgered; retained spelling and punctuation preserved.",Non-commercial and ShareAlike obligations apply to redistributed edition-derived text and its lineage.,inactive_pending_cross_archive_freeze
