unit_id,source_record_id,source_element,source_author_literal,corrected_author,resolution_method,resolution_status,alias_evidence
bibit:sonnet:bibit000118:sonnet_0036,bibit000118,ancestor_div/head_suffix,Cesarotti,"Cesarotti, Melchiorre",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0037,bibit000118,ancestor_div/head_suffix,Cesarotti,"Cesarotti, Melchiorre",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0038,bibit000118,ancestor_div/head_suffix,Cesarotti,"Cesarotti, Melchiorre",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0039,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0040,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0042,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0043,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0044,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0046,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0047,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0048,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0049,bibit000118,ancestor_div/head_suffix,Alfieri,Vittorio Alfieri,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0050,bibit000118,ancestor_div/head_suffix,Mazza,Angelo Mazza,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0051,bibit000118,ancestor_div/head_suffix,Mazza,Angelo Mazza,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0052,bibit000118,ancestor_div/head_suffix,De Rossi,Giovanni Gherardo de Rossi,curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0053,bibit000118,ancestor_div/head_suffix,Monti,"Monti, Vincenzo",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit000118:sonnet_0054,bibit000118,ancestor_div/head_suffix,Monti,"Monti, Vincenzo",curated_alias_to_existing_source_identity,resolved_curated_alias,pinned TEI heading plus existing canonical or archive metadata identity
bibit:sonnet:bibit001444:structural_0001,bibit001444,ancestor_div@n+opener/byline,Guittone d'Arezzo,Guittone d'Arezzo,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0006,bibit001444,ancestor_div@n+opener/byline,Francesco Petrarca,Francesco Petrarca,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0007,bibit001444,ancestor_div@n+opener/byline,Giusto de' Conti,Giusto de' Conti,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0008,bibit001444,ancestor_div@n+opener/byline,Leonello d'Este,Leonello d'Este,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0009,bibit001444,ancestor_div@n+opener/byline,Lorenzo de' Medici,Lorenzo de' Medici,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0010,bibit001444,ancestor_div@n+opener/byline,Pietro Bembo,Pietro Bembo,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0012,bibit001444,ancestor_div@n+opener/byline,Veronica Gambara,Veronica Gambara,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0013,bibit001444,ancestor_div@n+opener/byline,Galeazzo Di Tarsia,Galeazzo Di Tarsia,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0014,bibit001444,ancestor_div@n+opener/byline,Giovanni Della Casa,Giovanni Della Casa,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0015,bibit001444,ancestor_div@n+opener/byline,Angelo Di Costanzo,Angelo Di Costanzo,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0016,bibit001444,ancestor_div@n+opener/byline,Torquato Tasso,Torquato Tasso,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0017,bibit001444,ancestor_div@n+opener/byline,Alessandro Tassoni,Alessandro Tassoni,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0018,bibit001444,ancestor_div@n+opener/byline,Francesco Redi,Francesco Redi,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0019,bibit001444,ancestor_div@n+opener/byline,Benedetto Menzini,Benedetto Menzini,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0020,bibit001444,ancestor_div@n+opener/byline,Alessandro Guidi,Alessandro Guidi,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0021,bibit001444,ancestor_div@n+opener/byline,Giovanni Battista Zappi,Giovanni Battista Zappi,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0022,bibit001444,ancestor_div@n+opener/byline,Cornelio Bentivoglio,Cornelio Bentivoglio,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0023,bibit001444,ancestor_div@n+opener/byline,Quirico Rossi,Quirico Rossi,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0024,bibit001444,ancestor_div@n+opener/byline,Onofrio Minzoni,Onofrio Minzoni,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0025,bibit001444,ancestor_div@n+opener/byline,Giuseppe Parini,Giuseppe Parini,source_structured_literal,resolved_source_literal,pinned TEI structured author field
bibit:sonnet:bibit001444:structural_0026,bibit001444,ancestor_div@n+opener/byline,Vittorio Alfieri,Vittorio Alfieri,source_structured_literal,resolved_source_literal,pinned TEI structured author field
