poem_id,title_or_first_line,author,displayed_author,source_archive,source_collection,source_subcollection,source_url,source_revision_id,source_revision_timestamp,downloaded_at_utc,source_edition,license_notes,period,form,form_evidence,count_method,attribution_status,line_count_raw,line_count_clean,raw_text_path,clean_text_path,include_in_core_pre_petrarch,include_in_expanded_with_petrarch,include_in_training,split_core_pre_petrarch,split_expanded_with_petrarch,editorial_brackets_removed,line_markers_removed,cleaning_notes,audit_notes
giacomo_ogn_omo_c_ama_de_amar_so_nore,Ogn'omo c'ama de' amar so 'nore,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Ogn%27omo_c%27ama_de%27_amar_so_%27nore,,,2026-06-02T17:48:31+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_ogn_omo_c_ama_de_amar_so_nore.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_a_l_aire_claro_ò_vista_ploggia_dare,A l'aire claro ò vista ploggia dare,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/A_l%27aire_claro_%C3%B2_vista_ploggia_dare,,,2026-06-02T17:48:32+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_a_l_aire_claro_ò_vista_ploggia_dare.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_io_m_aggio_posto_in_core_a_dio,Io m'aggio posto in core a Dio,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Io_m%27aggio_posto_in_core_a_Dio,,,2026-06-02T17:48:34+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_io_m_aggio_posto_in_core_a_dio.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_lo_viso_mi_fa_andare_alegramente,Lo viso mi fa andare alegramente,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Lo_viso_mi_fa_andare_alegramente,,,2026-06-02T17:48:35+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_lo_viso_mi_fa_andare_alegramente.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_eo_viso_e_non_diviso_da_lo_viso,Eo viso - e non diviso - da lo viso,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Eo_viso_-_e_non_diviso_-_da_lo_viso,,,2026-06-02T17:48:37+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_eo_viso_e_non_diviso_da_lo_viso.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_sì_alta_amanza_à_pres_a_lo_me_core,Sì alta amanza à pres'a lo me' core,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/S%C3%AC_alta_amanza_%C3%A0_pres%27a_lo_me%27_core,,,2026-06-02T17:48:38+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_sì_alta_amanza_à_pres_a_lo_me_core.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_per_sofrenza_si_vince_gran_vetoria,Per sofrenza si vince gran vetoria,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Per_sofrenza_si_vince_gran_vetoria,,,2026-06-02T17:48:40+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_per_sofrenza_si_vince_gran_vetoria.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_certo_me_par_che_far_dea,Certo me par che far dea,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Certo_me_par_che_far_dea,,,2026-06-02T17:48:41+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_certo_me_par_che_far_dea.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_si_como_l_parpaglion_c_à_tal_natura,Si como 'l parpaglion c'à tal natura,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Si_como_%27l_parpaglion_c%27%C3%A0_tal_natura,,,2026-06-02T17:48:43+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_si_como_l_parpaglion_c_à_tal_natura.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_chi_non_avesse_mai_veduto_foco,Chi non avesse mai veduto foco,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Chi_non_avesse_mai_veduto_foco,,,2026-06-02T17:48:44+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_chi_non_avesse_mai_veduto_foco.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_diamante_né_smiraldo_né_zafino,"Diamante, né smiraldo, né zafino",Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,"https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Diamante,_n%C3%A9_smiraldo,_n%C3%A9_zafino",,,2026-06-02T17:48:46+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_diamante_né_smiraldo_né_zafino.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_madonna_à_n_sé_vertute_con_valore,Madonna à 'n sé vertute con valore,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Madonna_%C3%A0_%27n_s%C3%A9_vertute_con_valore,,,2026-06-02T17:48:47+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_madonna_à_n_sé_vertute_con_valore.txt,True,True,True,test,test,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_angelica_figura_e_comprobata,Angelica figura - e comprobata,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Angelica_figura_-_e_comprobata,,,2026-06-02T17:48:49+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_angelica_figura_e_comprobata.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_quand_om_à_un_bon_amico_leiale,Quand'om à un bon amico leiale,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Sonetti,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Sonetti/Quand%27om_%C3%A0_un_bon_amico_leiale,,,2026-06-02T17:48:50+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,explicit Sonetti section,explicit_index_section,secure,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_quand_om_à_un_bon_amico_leiale.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_lo_badalisco_a_lo_specchio_lucente,Lo badalisco a lo specchio lucente,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Dubbie attribuzioni,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Dubbie_attribuzioni/Lo_badalisco_a_lo_specchio_lucente,,,2026-06-02T17:48:52+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,manual audit found 14-line doubtful sonnet,line_count_14,doubtful,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_lo_badalisco_a_lo_specchio_lucente.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
giacomo_guardando_basalisco_velenoso,Guardando basalisco velenoso,Giacomo da Lentini,Giacomo da Lentini,Italian Wikisource,Poesie (Giacomo da Lentini),Dubbie attribuzioni,https://it.wikisource.org/wiki/Poesie_(Giacomo_da_Lentini)/Dubbie_attribuzioni/Guardando_basalisco_velenoso,,,2026-06-02T17:48:53+00:00,"Roberto Antonelli, Bulzoni Editore, Roma, 1979",CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,manual audit found 14-line doubtful sonnet,line_count_14,doubtful,18,14,,data/processed/sonnets_expanded_v3/poems/giacomo_guardando_basalisco_velenoso.txt,True,True,True,test,test,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_i_a_ciascun_alma_presa_e_gentil_core,I - A ciascun'alma presa e gentil core,Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,https://it.wikisource.org/wiki/Rime_(Dante)/I_-_A_ciascun%27alma_presa_e_gentil_core,,,2026-06-02T17:48:56+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_i_a_ciascun_alma_presa_e_gentil_core.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_ii_vedeste_al_mio_parere_onne_valore,"II - Vedeste, al mio parere, onne valore",Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,"https://it.wikisource.org/wiki/Rime_(Dante)/II_-_Vedeste,_al_mio_parere,_onne_valore",,,2026-06-02T17:48:58+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_ii_vedeste_al_mio_parere_onne_valore.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_iii_naturalmente_chere_ogni_amadore,III - Naturalmente chere ogni amadore,Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,https://it.wikisource.org/wiki/Rime_(Dante)/III_-_Naturalmente_chere_ogni_amadore,,,2026-06-02T17:48:59+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_iii_naturalmente_chere_ogni_amadore.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_iv_di_ciò_che_stato_sei_dimandatore,IV - Di ciò che stato sei dimandatore,Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,https://it.wikisource.org/wiki/Rime_(Dante)/IV_-_Di_ci%C3%B2_che_stato_sei_dimandatore,,,2026-06-02T17:49:01+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_iv_di_ciò_che_stato_sei_dimandatore.txt,True,True,True,test,test,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_vi_piangete_amanti_poi_che_piange_amore,"VI - Piangete, amanti, poi che piange Amore",Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,"https://it.wikisource.org/wiki/Rime_(Dante)/VI_-_Piangete,_amanti,_poi_che_piange_Amore",,,2026-06-02T17:49:04+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_vi_piangete_amanti_poi_che_piange_amore.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_viii_cavalcando_l_altr_ier_per_un_cammin,VIII - Cavalcando l'altr'ier per un cammin,Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,https://it.wikisource.org/wiki/Rime_(Dante)/VIII_-_Cavalcando_l%27altr%27ier_per_un_cammin,,,2026-06-02T17:49:07+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_viii_cavalcando_l_altr_ier_per_un_cammin.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_x_tutti_li_miei_penser_parlan_d_amore,X - Tutti li miei penser parlan d'Amore,Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,https://it.wikisource.org/wiki/Rime_(Dante)/X_-_Tutti_li_miei_penser_parlan_d%27Amore,,,2026-06-02T17:49:10+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_x_tutti_li_miei_penser_parlan_d_amore.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_xi_con_l_altre_donne_mia_vista_gabbate,XI - Con l'altre donne mia vista gabbate,Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,https://it.wikisource.org/wiki/Rime_(Dante)/XI_-_Con_l%27altre_donne_mia_vista_gabbate,,,2026-06-02T17:49:11+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_xi_con_l_altre_donne_mia_vista_gabbate.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
dante_xii_ciò_che_m_incontra_ne_la_mente_more,"XII - Ciò che m'incontra, ne la mente more",Dante Alighieri,Dante Alighieri,Italian Wikisource,Rime (Dante),Indice,"https://it.wikisource.org/wiki/Rime_(Dante)/XII_-_Ci%C3%B2_che_m%27incontra,_ne_la_mente_more",,,2026-06-02T17:49:13+00:00,,CC BY-SA / GFDL metadata on Italian Wikisource,XIII secolo,sonnet,mixed source index; include after cleaned 14-line validation,line_count_14,unknown,18,14,,data/processed/sonnets_expanded_v3/poems/dante_xii_ciò_che_m_incontra_ne_la_mente_more.txt,True,True,True,train,train,True,True,Removed editorial square brackets around letter expansions; removed displayed line markers; preserved line breaks.,
