object_id,wordpress_id,title,authors,periods,genres,languages,source_publisher,source_publication_place,source_publication_date,source_identifier,family_key,canonical_status,canonical_object_id,role,role_reason,estimated_characters,estimated_min_tokens,estimated_max_tokens,landing_page_url,xml_url
bibit001307,137466,L'Ottimo commento della Divina Commedia,Non definito,300,"Commenti, traduzioni e volgarizzamenti",ita,Lexis Progetti Editoriali,Roma,1999,IT\ICCU\TO0\0768353,non definito::l ottimo commento della divina commedia,selected,bibit001307,excluded,rendered catalog sample contains no primary text,838233,209558,279411,http://www.bibliotecaitaliana.it/scheda/bibit001307,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001307
bibit001273,137402,L'evoluzione del dialetto pisano in un carteggio mercantile del XV secolo,Non definito,400,Lettere ed epistolari,ita,Pescara,,1998,IT\ICCU\CFI\0419513,non definito::l evoluzione del dialetto pisano in un carteggio mercantile del xv secolo,selected,bibit001273,excluded,dialect-heavy source; keep outside the standard-Italian core,169705,42426,56569,http://www.bibliotecaitaliana.it/scheda/bibit001273,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001273
bibit000514,135960,Il Milione veneto,"Polo, Marco",200,Trattati,ita,Marsilio,Venezia,1999,IT\ICCU\PUV\0494555,polo marco::il milione veneto,selected,bibit000514,excluded,dialect-heavy source; keep outside the standard-Italian core,300926,75231,100309,http://www.bibliotecaitaliana.it/scheda/bibit000514,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000514
bibit000500,135932,Poesie,"Porta, Carlo",800,Poesia,ita,A. Mondadori,Milano,1987,IT\ICCU\UBO\0116282,porta carlo::poesie,selected,bibit000500,excluded,dialect-heavy source; keep outside the standard-Italian core,79778,19944,26593,http://www.bibliotecaitaliana.it/scheda/bibit000500,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000500
bibit001546,137918,Della dissimulazione onesta,"Accetto, Torquato",600,Trattati,ita,Costa e Nolan,Genova,1990,IT\ICCU\VEA\0063161,accetto torquato::della dissimulazione onesta,selected,bibit001546,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",37921,9480,12641,http://www.bibliotecaitaliana.it/scheda/bibit001546,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001546
bibit000001,134966,Tragedia di Antigone,"Alamanni, Luigi",500,Letteratura teatrale,ita,Res,[San Mauro Torinese],1997,IT\ICCU\PUV\0221485,alamanni luigi::tragedia di antigone,selected,bibit000001,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",100987,25246,33663,http://www.bibliotecaitaliana.it/scheda/bibit000001,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000001
bibit000003,134970,Cena familiaris,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1960,IT\ICCU\IEI\0032407,alberti leon battista::cena familiaris,selected,bibit000003,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000003,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000003
bibit001200,137268,De amore,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1973,IT\ICCU\MOD\0354316,alberti leon battista::de amore,selected,bibit001200,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit001200,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001200
bibit000004,134972,De commodis litterarum atque incommodis,"Alberti, Leon Battista",400,Trattati,ita,L. S. Olschki,Firenze,1976,IT\ICCU\LIA\0189152,alberti leon battista::de commodis litterarum atque incommodis,selected,bibit000004,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000004,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000004
bibit001255,137370,De iciarchia,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::de iciarchia,selected,bibit001255,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit001255,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001255
bibit000882,136670,De iure,"Alberti, Leon Battista",400,Trattati,ita,Bulzoni,Roma,1985,IT\ICCU\CFI\0022680,alberti leon battista::de iure,selected,bibit000882,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000882,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000882
bibit000005,134974,De pictura [Redazione volgare],"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1973,IT\ICCU\MOD\0354316,alberti leon battista::de pictura redazione volgare,selected,bibit000005,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000005,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000005
bibit000625,136176,Deifira,"Alberti, Leon Battista",400,Narrativa,ita,Laterza,Bari,1973,IT\ICCU\MOD\0354316,alberti leon battista::deifira,selected,bibit000625,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",278707,69676,92903,http://www.bibliotecaitaliana.it/scheda/bibit000625,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000625
bibit001155,137180,Ecatonfilea,"Alberti, Leon Battista",400,Narrativa,ita,Laterza,Bari,1973,IT\ICCU\MOD\0354316,alberti leon battista::ecatonfilea,selected,bibit001155,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",278707,69676,92903,http://www.bibliotecaitaliana.it/scheda/bibit001155,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001155
bibit000006,134976,Epistola consolatoria,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::epistola consolatoria,selected,bibit000006,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000006,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000006
bibit000010,134984,I libri della famiglia,"Alberti, Leon Battista",400,Trattati,ita,Einaudi,Torino,1972,IT\ICCU\UMC\0079745,alberti leon battista::i libri della famiglia,selected,bibit000010,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000010,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000010
bibit000854,136616,Istorietta amorosa fra Leonora de' Bardi e Ippolito Bondelmonti,"Alberti, Leon Battista",500,Narrativa,ita,Laterza,Bari,1973,IT\ICCU\IEI\0032661,alberti leon battista::istorietta amorosa fra leonora de bardi e ippolito bondelmonti,selected,bibit000854,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",285811,71452,95271,http://www.bibliotecaitaliana.it/scheda/bibit000854,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000854
bibit000008,134980,Naufragus,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::naufragus,selected,bibit000008,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000008,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000008
bibit000368,135682,Proemio al libro III dei Libri della famiglia,"Alberti, Leon Battista",400,Trattati,ita,Antenore,Padova,1984,IT\ICCU\CFI\0082886,alberti leon battista::proemio al libro iii dei libri della famiglia,selected,bibit000368,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000368,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000368
bibit000536,136004,Profugiorum ab aerumna libri III,"Alberti, Leon Battista",400,Narrativa,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::profugiorum ab aerumna libri iii,selected,bibit000536,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",278707,69676,92903,http://www.bibliotecaitaliana.it/scheda/bibit000536,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000536
bibit000703,136326,Protesta,"Alberti, Leon Battista",400,Oratoria,ita,Panini,Modena,1993,IT\ICCU\TO0\0306363,alberti leon battista::protesta,selected,bibit000703,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",12117,3029,4039,http://www.bibliotecaitaliana.it/scheda/bibit000703,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000703
bibit000009,134982,Sentenze pitagoriche,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::sentenze pitagoriche,selected,bibit000009,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000009,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000009
bibit000848,136604,Sofrona,"Alberti, Leon Battista",400,Narrativa,ita,Laterza,Bari,1973,IT\ICCU\MOD\0354316,alberti leon battista::sofrona,selected,bibit000848,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",278707,69676,92903,http://www.bibliotecaitaliana.it/scheda/bibit000848,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000848
bibit000517,135966,Theogenius,"Alberti, Leon Battista",400,Narrativa,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::theogenius,selected,bibit000517,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",278707,69676,92903,http://www.bibliotecaitaliana.it/scheda/bibit000517,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000517
bibit000512,135956,Uxoria,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::uxoria,selected,bibit000512,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000512,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000512
bibit001441,137718,Villa,"Alberti, Leon Battista",400,Narrativa,ita,Laterza,Bari,1960,IT\ICCU\IEI\0032407,alberti leon battista::villa,selected,bibit001441,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",9173,2293,3058,http://www.bibliotecaitaliana.it/scheda/bibit001441,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001441
bibit000200,135358,Volgarizzamento della Dissuasio Valerii,"Alberti, Leon Battista",400,Trattati,ita,Laterza,Bari,1966,IT\ICCU\UPG\0008921,alberti leon battista::volgarizzamento della dissuasio valerii,selected,bibit000200,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",169868,42467,56623,http://www.bibliotecaitaliana.it/scheda/bibit000200,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000200
bibit000017,134998,Agamennone,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::agamennone,selected,bibit000017,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000017,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000017
bibit000013,134990,Antigone,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::antigone,selected,bibit000013,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000013,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000013
bibit000015,134994,Bruto primo,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::bruto primo,selected,bibit000015,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000015,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000015
bibit000016,134996,Bruto secondo,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::bruto secondo,selected,bibit000016,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000016,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000016
bibit001543,137912,Della tirannide,"Alfieri, Vittorio",700,Trattati,ita,Casa d'Alfieri,Asti,1951,IT\ICCU\TO0\0117537,alfieri vittorio::della tirannide,selected,bibit001543,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",445095,111273,148365,http://www.bibliotecaitaliana.it/scheda/bibit001543,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001543
bibit000217,135390,Don Garzia,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::don garzia,selected,bibit000217,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000217,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000217
bibit000834,136576,Filippo,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::filippo,selected,bibit000834,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000834,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000834
bibit000579,136086,La congiura de' Pazzi,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::la congiura de pazzi,selected,bibit000579,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000579,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000579
bibit000232,135420,Maria Stuarda,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::maria stuarda,selected,bibit000232,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000232,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000232
bibit001624,138066,Merope,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::merope,selected,bibit001624,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit001624,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001624
bibit000479,135894,Mirra,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::mirra,selected,bibit000479,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",60328,15082,20110,http://www.bibliotecaitaliana.it/scheda/bibit000479,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000479
bibit001163,137196,Oreste,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::oreste,selected,bibit001163,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit001163,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001163
bibit001054,136992,Ottavia,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::ottavia,selected,bibit001054,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit001054,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001054
bibit000338,135626,Polinice,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::polinice,selected,bibit000338,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000338,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000338
bibit000705,136330,Rosmunda,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::rosmunda,selected,bibit000705,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000705,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000705
bibit000716,136350,Saul,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::saul,selected,bibit000716,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000716,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000716
bibit000681,136286,Sofonisba,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::sofonisba,selected,bibit000681,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000681,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000681
bibit000880,136666,Timoleone,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::timoleone,selected,bibit000880,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit000880,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000880
bibit001408,137652,Virginia,"Alfieri, Vittorio",700,Letteratura teatrale,ita,Sansoni,Firenze,1985,IT\ICCU\CFI\0021280,alfieri vittorio::virginia,selected,bibit001408,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",77172,19293,25724,http://www.bibliotecaitaliana.it/scheda/bibit001408,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001408
bibit000012,134988,Vita,"Alfieri, Vittorio",700,Memorialistica,ita,G. Einaudi,Torino,1967,IT\ICCU\SBL\0071292,alfieri vittorio::vita,selected,bibit000012,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",595265,148816,198422,http://www.bibliotecaitaliana.it/scheda/bibit000012,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000012
bibit000805,136520,Sopra la ricchezza della lingua italiana ne' termini militari,"Algarotti, Francesco",700,Trattati,ita,presso Carlo Palese,In Venezia,1791-1794,IT\ICCU\RMRE\001897,algarotti francesco::sopra la ricchezza della lingua italiana ne termini militari,selected,bibit000805,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",445095,111273,148365,http://www.bibliotecaitaliana.it/scheda/bibit000805,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000805
bibit001673,138162,Convivio,"Alighieri, Dante",300,Trattati,ita,Le Lettere,Firenze,1995,IT\ICCU\LO1\0571104,alighieri dante::convivio,selected,bibit001673,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",56239,14059,18747,http://www.bibliotecaitaliana.it/scheda/bibit001673,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001673
bibit000018,135000,De vulgari eloquentia,"Alighieri, Dante",300,Trattati,ita,R. Ricciardi,Milano [etc.],[1996],IT\ICCU\MIL\0282022,alighieri dante::de vulgari eloquentia,selected,bibit000018,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",56239,14059,18747,http://www.bibliotecaitaliana.it/scheda/bibit000018,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000018
bibit000312,135578,Epistole,"Alighieri, Dante",300,Lettere ed epistolari,ita,R. Ricciardi,Milano [ecc.],1996,IT\ICCU\MIL\0282029,alighieri dante::epistole,selected,bibit000312,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",68688,17172,22896,http://www.bibliotecaitaliana.it/scheda/bibit000312,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000312
bibit001024,136936,Monarchia,"Alighieri, Dante",300,Trattati,ita,R. Ricciardi,Milano [ecc.],1996,IT\ICCU\MIL\0282022,alighieri dante::monarchia,selected,bibit001024,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",130809,32702,43603,http://www.bibliotecaitaliana.it/scheda/bibit001024,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001024
bibit001095,137068,Quaestio de aqua et terra,"Alighieri, Dante",300,Trattati,ita,R. Ricciardi,Milano [ecc.],1996,IT\ICCU\MIL\0282029,alighieri dante::quaestio de aqua et terra,selected,bibit001095,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",29496,7374,9832,http://www.bibliotecaitaliana.it/scheda/bibit001095,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit001095
bibit000520,135972,Vita nuova,"Alighieri, Dante",200,Narrativa,ita,G. Einaudi,Torino,1996,IT\ICCU\RAV\0283160,alighieri dante::vita nuova,selected,bibit000520,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",360856,90214,120286,http://www.bibliotecaitaliana.it/scheda/bibit000520,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000520
bibit000221,135398,Chiose all' Inferno,"Alighieri, Jacopo",300,"Commenti, traduzioni e volgarizzamenti",ita,Lexis Progetti Editoriali,Roma,1999,IT\ICCU\TO0\0768353,alighieri jacopo::chiose all inferno,selected,bibit000221,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",173366,43341,57789,http://www.bibliotecaitaliana.it/scheda/bibit000221,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000221
bibit000020,135004,Il dedalione o ver del poeta,"Ammirato, Scipione",500,Trattati,ita,Laterza,Bari,1970-1974,IT\ICCU\RAV\0202129,ammirato scipione::il dedalione o ver del poeta,selected,bibit000020,historical_general,"historical prose, theatre, letters, treatise, document, or related general-domain text",87276,21819,29092,http://www.bibliotecaitaliana.it/scheda/bibit000020,http://backend.bibliotecaitaliana.it/wp-json/muruca-core/v1/xml/bibit000020
