unit_id,final_role,source_group,source_id,title,author,component_id,component_key,token_count,split,component_decision,oversize_component
bibit:record:bibit000017,historical_general,bibit,bibit000017,Agamennone,"Alfieri, Vittorio",component:5688321110169905,author:alfieri vittorio,20614,train,deterministic_training_component,false
bibit:record:bibit000018,historical_general,bibit,bibit000018,De vulgari eloquentia,"Alighieri, Dante",component:b0658f54237eeedd,author:alighieri dante,26071,train,oversize_component_retained_training,true
bibit:record:bibit000019,historical_non_sonnet_poetry,bibit,bibit000019,Commedia,"Alighieri, Dante",component:b0658f54237eeedd,author:alighieri dante,177016,train,oversize_component_retained_training,true
bibit:record:bibit000020,historical_general,bibit,bibit000020,Il dedalione o ver del poeta,"Ammirato, Scipione",component:412325cdc4d1f494,author:ammirato scipione,17928,train,deterministic_training_component,false
bibit:record:bibit000021,historical_general,bibit,bibit000021,Cronica,Anonimo romano,component:eae5c88e04fe4649,author:anonimo romano,104127,train,deterministic_training_component,false
bibit:record:bibit000022,historical_general,bibit,bibit000022,Lettere sull'arte,"Aretino, Pietro",component:fc272270e2da32f8,author:aretino pietro,302817,train,deterministic_training_component,false
bibit:record:bibit000023,historical_general,bibit,bibit000023,I suppositi,"Ariosto, Ludovico",component:8660e90da9b89007,author:ariosto ludovico,28045,train,oversize_component_retained_training,true
bibit:record:bibit000024,historical_non_sonnet_poetry,bibit,bibit000024,Rime,"Ariosto, Ludovico",component:8660e90da9b89007,author:ariosto ludovico,35267,train,oversize_component_retained_training,true
bibit:record:bibit000025,historical_non_sonnet_poetry,bibit,bibit000025,Satire,"Ariosto, Ludovico",component:8660e90da9b89007,author:ariosto ludovico,23374,train,oversize_component_retained_training,true
bibit:record:bibit000026,historical_non_sonnet_poetry,bibit,bibit000026,Cinque canti,"Ariosto, Ludovico",component:8660e90da9b89007,author:ariosto ludovico,55775,train,oversize_component_retained_training,true
bibit:record:bibit000027,historical_general,bibit,bibit000027,Cassaria,"Ariosto, Ludovico",component:8660e90da9b89007,author:ariosto ludovico,29841,train,oversize_component_retained_training,true
bibit:record:bibit000028,historical_general,bibit,bibit000028,Iscrizioni obituarie della cattedrale,Non definito,component:d340ccd19ef8e6a0,author:definito non,4064,train,oversize_component_retained_training,true
bibit:record:bibit000030,historical_general,bibit,bibit000030,Novella del grasso legnaiuolo,Non definito,component:d340ccd19ef8e6a0,author:definito non,20143,train,oversize_component_retained_training,true
bibit:record:bibit000031,historical_general,bibit,bibit000031,Della Eloquenza,"Barbaro, Daniele Matteo Alvise",component:97b1d191b840e0c0,author:alvise barbaro daniele matteo,59673,train,deterministic_training_component,false
bibit:record:bibit000032,nineteenth_century_bridge,bibit,bibit000032,Dei delitti e delle pene,"Beccaria, Cesare",component:07190b95fcc0a0fe,author:beccaria cesare,36065,train,deterministic_training_component,false
bibit:record:bibit000035,historical_general,bibit,bibit000035,Asolani,"Bembo, Pietro",component:68e1d62121317321,author:bembo pietro,87929,train,deterministic_training_component,false
bibit:record:bibit000036,historical_non_sonnet_poetry,bibit,bibit000036,Poesie politiche e romanze,"Berchet, Giovanni",component:bce8fcc7b47324d8,author:berchet giovanni,31988,train,deterministic_training_component,false
bibit:record:bibit000037,historical_general,bibit,bibit000037,Breve considerazione intorno al componimento de la comedia de' nostri tempi,"Pino, Bernardino",component:e0b8f0d5f7c93499,author:bernardino pino,10347,train,deterministic_training_component,false
bibit:record:bibit000038,historical_non_sonnet_poetry,bibit,bibit000038,Rime,"Berni, Francesco",component:8a31c2ef7819e9b0,author:berni francesco,41128,train,deterministic_training_component,false
bibit:record:bibit000039,historical_general,bibit,bibit000039,Corbaccio,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,43943,train,oversize_component_retained_training,true
bibit:record:bibit000040,historical_non_sonnet_poetry,bibit,bibit000040,Rime,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,14780,train,oversize_component_retained_training,true
bibit:record:bibit000041,historical_non_sonnet_poetry,bibit,bibit000041,Teseida,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,118771,train,oversize_component_retained_training,true
bibit:record:bibit000043,historical_general,bibit,bibit000043,Elegia di Madonna Fiammetta,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,87278,train,oversize_component_retained_training,true
bibit:record:bibit000044,historical_non_sonnet_poetry,bibit,bibit000044,Caccia di Diana,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,12368,train,oversize_component_retained_training,true
bibit:record:bibit000045,historical_non_sonnet_poetry,bibit,bibit000045,Amorosa visione,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,50590,train,oversize_component_retained_training,true
bibit:record:bibit000046,historical_non_sonnet_poetry,bibit,bibit000046,Filostrato,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,68831,train,oversize_component_retained_training,true
bibit:record:bibit000047,historical_non_sonnet_poetry,bibit,bibit000047,Ninfale fiesolano,"Boccaccio, Giovanni",component:342e5352170e5ca9,author:boccaccio giovanni,48661,train,oversize_component_retained_training,true
bibit:record:bibit000048,historical_non_sonnet_poetry,bibit,bibit000048,Amorum libri,"Boiardo, Matteo Maria",component:e17f732fbc2b942b,author:boiardo maria matteo,16397,train,oversize_component_retained_training,true
bibit:record:bibit000049,historical_non_sonnet_poetry,bibit,bibit000049,Orlando innamorato,"Boiardo, Matteo Maria",component:e17f732fbc2b942b,author:boiardo maria matteo,438995,train,oversize_component_retained_training,true
bibit:record:bibit000050,historical_general,bibit,bibit000050,Candelaio,"Bruno, Giordano",component:cbe10d36b8447a5d,author:bruno giordano,66964,train,deterministic_training_component,false
bibit:record:bibit000051,historical_general,bibit,bibit000051,Prologhi,"Tasso, Torquato",component:bb1291d7280b42e3,author:tasso torquato,3956,train,oversize_component_retained_training,true
bibit:record:bibit000052,historical_general,bibit,bibit000052,Caio Gracco,"Monti, Vincenzo",component:99fa22a596bc4228,author:monti vincenzo,29644,train,oversize_component_retained_training,true
bibit:record:bibit000053,historical_non_sonnet_poetry,bibit,bibit000053,Poesie,"Corsellini, Pietro (detto Canterino)",component:c88af584b8cf9a25,author:canterino corsellini detto pietro,1258,train,deterministic_training_component,false
bibit:record:bibit000055,historical_general,bibit,bibit000055,Novellino,Non definito,component:d340ccd19ef8e6a0,author:definito non,43500,train,oversize_component_retained_training,true
bibit:record:bibit000056,historical_general,bibit,bibit000056,Relazione di Marino Cavalli (1551),"Cavalli, Marino",component:17566639038dd1cd,author:cavalli marino,11471,train,deterministic_training_component,false
bibit:record:bibit000057,historical_general,bibit,bibit000057,Re Torrismondo,"Tasso, Torquato",component:bb1291d7280b42e3,author:tasso torquato,43076,train,oversize_component_retained_training,true
bibit:record:bibit000058,nineteenth_century_bridge,bibit,bibit000058,Operette morali d'Isocrate,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,29681,train,oversize_component_retained_training,true
bibit:record:bibit000059,historical_general,bibit,bibit000059,Polissena,"Carmignani, Giovanni",component:11f363f097977820,author:carmignani giovanni,29591,train,deterministic_training_component,false
bibit:record:bibit000060,nineteenth_century_bridge,bibit,bibit000060,Discorsi sopra gli uomini illustri di Plutarco,"Foscolo, Ugo",component:1d89de2ef91ccc3f,author:foscolo ugo,429,train,oversize_component_retained_training,true
bibit:record:bibit000062,historical_general,bibit,bibit000062,Così fan tutte,"Da Ponte, Lorenzo",component:1739bbf37f0218fd,author:lorenzo ponte,24072,train,deterministic_training_component,false
bibit:record:bibit000064,nineteenth_century_bridge,bibit,bibit000064,Studii di bibliografia analitica,"Manzoni, Giacomo",component:9d8c5e7f3b795486,author:giacomo manzoni,13141,train,deterministic_training_component,false
bibit:record:bibit000065,historical_non_sonnet_poetry,bibit,bibit000065,Rime,"Di Tarsia, Galeazzo",component:cf61c8730dc96bf7,author:galeazzo tarsia,4278,train,deterministic_training_component,false
bibit:record:bibit000066,nineteenth_century_bridge,bibit,bibit000066,Notizie istoriche e geografiche sulla città e chiesa arcivescovile di Damiata,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,2592,train,oversize_component_retained_training,true
bibit:record:bibit000067,historical_general,bibit,bibit000067,Carteggio,"Giraldi Cinzio, Giambattista",component:8c10edacb6cab272,author:cinzio giambattista giraldi,177802,train,deterministic_training_component,false
bibit:record:bibit000068,historical_non_sonnet_poetry,bibit,bibit000068,Rime,"Firenzuola, Agnolo",component:5a3d7456bffda78c,author:agnolo firenzuola,72231,train,deterministic_training_component,false
bibit:record:bibit000069,historical_non_sonnet_poetry,bibit,bibit000069,Rocta facta per Duca die ferrara ala bastia,Non definito,component:d340ccd19ef8e6a0,author:definito non,5480,train,oversize_component_retained_training,true
bibit:record:bibit000070,historical_general,bibit,bibit000070,Endimione,"Guidi, Alessandro",component:c34d165b2284b2d2,author:alessandro guidi,11973,validation,selected_global_author_work_validation_component,false
bibit:record:bibit000072,nineteenth_century_bridge,bibit,bibit000072,Frammenti autobiografici,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,7250,train,oversize_component_retained_training,true
bibit:record:bibit000073,historical_general,bibit,bibit000073,Relazione d'Austria,"Soranzo, Giacomo",component:0fb523486b684c0d,author:giacomo soranzo,27220,train,deterministic_training_component,false
bibit:record:bibit000076,historical_general,bibit,bibit000076,Relazione di Francia,"Grimani, Alvise",component:7368e7cbce1d7cec,author:alvise grimani,23383,train,deterministic_training_component,false
bibit:record:bibit000077,historical_general,bibit,bibit000077,Orazioni,"Tasso, Torquato",component:bb1291d7280b42e3,author:tasso torquato,23352,train,oversize_component_retained_training,true
bibit:record:bibit000079,historical_general,bibit,bibit000079,La rappresentazione di Moisè e Faraone re d'Egitto,Non definito,component:d340ccd19ef8e6a0,author:definito non,6253,train,oversize_component_retained_training,true
bibit:record:bibit000080,historical_general,bibit,bibit000080,Le avventure di Saffo,"Verri, Alessandro",component:662e31bd1716d1dd,author:alessandro verri,66268,train,deterministic_training_component,false
bibit:record:bibit000081,historical_general,bibit,bibit000081,Alcuni documenti che testimoniano i rapporti tra Pisa e l'Oriente tra la fine del XIII e l'inizio del XIV secolo,Non definito,component:d340ccd19ef8e6a0,author:definito non,8162,train,oversize_component_retained_training,true
bibit:record:bibit000082,historical_non_sonnet_poetry,bibit,bibit000082,Poesie,"Petroni, Ludovico",component:7c6c8cff0c30732c,author:ludovico petroni,20,validation,selected_global_author_work_validation_component,false
bibit:record:bibit000083,historical_non_sonnet_poetry,bibit,bibit000083,Poesie,"Martini, Giovanni",component:4dbaed839d3697d9,author:giovanni martini,1263,train,deterministic_training_component,false
bibit:record:bibit000084,historical_non_sonnet_poetry,bibit,bibit000084,Rime,"Pignatelli, Ascanio",component:184997cdd67589b1,author:ascanio pignatelli,5555,train,deterministic_training_component,false
bibit:record:bibit000085,historical_general,bibit,bibit000085,Relazione di Francia di Alvise Mocenigo,Non definito,component:d340ccd19ef8e6a0,author:definito non,9726,train,oversize_component_retained_training,true
bibit:record:bibit000086,nineteenth_century_bridge,bibit,bibit000086,Discorso sopra la Batracomiomachia,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,6956,train,oversize_component_retained_training,true
bibit:record:bibit000088,nineteenth_century_bridge,bibit,bibit000088,Saggio sopra gli errori popolari degli antichi,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,88206,train,oversize_component_retained_training,true
bibit:record:bibit000089,historical_general,bibit,bibit000089,La città felice,"Patrizi, Francesco",component:bf7d86e5938def68,author:francesco patrizi,11687,train,deterministic_training_component,false
bibit:record:bibit000092,nineteenth_century_bridge,bibit,bibit000092,Vita dei campi,"Verga, Giovanni",component:7d203e7a89fa0cc9,author:giovanni verga,45147,train,deterministic_training_component,false
bibit:record:bibit000094,historical_general,bibit,bibit000094,Expositione sopra l'«Inferno» di Dante Alligieri,"Maramauro, Guglielmo",component:f1f5bf736ad9ae5c,author:guglielmo maramauro,205254,train,deterministic_training_component,false
bibit:record:bibit000095,historical_general,bibit,bibit000095,Relazione di Spagna (1559),"Suriano, Michele",component:bb56e5b6496ddf48,author:michele suriano,25157,train,deterministic_training_component,false
bibit:record:bibit000096,historical_general,bibit,bibit000096,Dialogo del reggimento di Firenze,"Guicciardini, Francesco",component:a24f44e92688e4a1,author:francesco guicciardini,83451,train,oversize_component_retained_training,true
bibit:record:bibit000098,nineteenth_century_bridge,bibit,bibit000098,Epistolario,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,1029226,train,oversize_component_retained_training,true
bibit:record:bibit000099,historical_non_sonnet_poetry,bibit,bibit000099,Rime,"Tasso, Torquato",component:bb1291d7280b42e3,author:tasso torquato,152682,train,oversize_component_retained_training,true
bibit:record:bibit000100,historical_general,bibit,bibit000100,Gride fatte pubblicare da Lodovico Ariosto ducale commissario generale in Garfagnana,"Ariosto, Ludovico",component:8660e90da9b89007,author:ariosto ludovico,535,train,oversize_component_retained_training,true
bibit:record:bibit000102,historical_non_sonnet_poetry,bibit,bibit000102,Alcune poesie di Ripano Eupilino,"Parini, Giuseppe",component:1358b5b23954e876,author:giuseppe parini,17652,train,deterministic_training_component,false
bibit:record:bibit000104,nineteenth_century_bridge,bibit,bibit000104,Manifesti e annuncio bibliografico di un'edizione delle opere di Cicerone,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,4179,train,oversize_component_retained_training,true
bibit:record:bibit000105,nineteenth_century_bridge,bibit,bibit000105,Scritti vari,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,3782,train,oversize_component_retained_training,true
bibit:record:bibit000107,historical_general,bibit,bibit000107,Descrizione di Pisa fatta da Vincenzo Pitti l'anno 1616,"Pitti, Vincenzo",component:fa51ac675dbc2060,author:pitti vincenzo,14878,train,deterministic_training_component,false
bibit:record:bibit000111,historical_general,bibit,bibit000111,Alcuni documenti relativi ai rapporti economici tra la Sardegna e Pisa nel Medioevo,Non definito,component:d340ccd19ef8e6a0,author:definito non,19598,train,oversize_component_retained_training,true
bibit:record:bibit000113,historical_general,bibit,bibit000113,Volgarizzamento del De viribus herbarum di Macer Floridus,Non definito,component:d340ccd19ef8e6a0,author:definito non,46486,train,oversize_component_retained_training,true
bibit:record:bibit000114,nineteenth_century_bridge,bibit,bibit000114,La palingenesi politica,"Monti, Vincenzo",component:99fa22a596bc4228,author:monti vincenzo,6002,train,oversize_component_retained_training,true
bibit:record:bibit000116,historical_general,bibit,bibit000116,Il Costante overo de la Clemenza,"Tasso, Torquato",component:bb1291d7280b42e3,author:tasso torquato,12415,train,oversize_component_retained_training,true
bibit:record:bibit000118,nineteenth_century_bridge,bibit,bibit000118,Crestomazia italiana (Poesia),"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,186301,train,oversize_component_retained_training,true
bibit:record:bibit000119,historical_general,bibit,bibit000119,Cabala del cavallo pegaseo,"Bruno, Giordano",component:cbe10d36b8447a5d,author:bruno giordano,30526,train,deterministic_training_component,false
bibit:record:bibit000120,historical_general,bibit,bibit000120,Relatione de S. Alvise Contarini Kr. (1650),"Contarini, Alvise",component:6fd50d09a0a80369,author:alvise contarini,47166,train,deterministic_training_component,false
bibit:record:bibit000121,historical_non_sonnet_poetry,bibit,bibit000121,Poesie,"Rossi, Roberto de'",component:e41e281f785ff3bc,author:roberto rossi,32,train,deterministic_training_component,false
bibit:record:bibit000122,historical_non_sonnet_poetry,bibit,bibit000122,Poesie di Ossian,"Cesarotti, Melchiorre",component:2395c59b993df1bc,author:cesarotti melchiorre,192350,train,deterministic_training_component,false
bibit:record:bibit000123,nineteenth_century_bridge,bibit,bibit000123,Una vita,"Svevo, Italo",component:d591e5d86a9de4af,author:italo svevo,163228,train,deterministic_training_component,false
bibit:record:bibit000124,historical_general,bibit,bibit000124,Timone,"Boiardo, Matteo Maria",component:e17f732fbc2b942b,author:boiardo maria matteo,24824,train,oversize_component_retained_training,true
bibit:record:bibit000126,historical_non_sonnet_poetry,bibit,bibit000126,Genealogia della Serenissima casa Gonzaga,"Tasso, Torquato",component:bb1291d7280b42e3,author:tasso torquato,12624,train,oversize_component_retained_training,true
bibit:record:bibit000127,historical_general,bibit,bibit000127,Cleopatra e Marc'Antonio Tragedia,Non definito,component:d340ccd19ef8e6a0,author:definito non,37672,train,oversize_component_retained_training,true
bibit:record:bibit000128,historical_general,bibit,bibit000128,Tre lezioni sulla poetica,"Neroni, Baccio",component:0bf68847c2556893,author:baccio neroni,7080,train,deterministic_training_component,false
bibit:record:bibit000129,historical_non_sonnet_poetry,bibit,bibit000129,Rime,"Buonarroti, Michelangelo",component:cabb10d5a0d8ba94,author:buonarroti michelangelo,30402,train,deterministic_training_component,false
bibit:record:bibit000130,historical_general,bibit,bibit000130,Della vera poetica,"Capriano, Giovan Pietro",component:ff08a4fef3d114f1,author:capriano giovan pietro,21170,train,deterministic_training_component,false
bibit:record:bibit000131,nineteenth_century_bridge,bibit,bibit000131,Odi barbare,"Carducci, Giosue",component:8e3d6dbc9f72cc40,author:carducci giosue,26033,train,deterministic_training_component,false
bibit:record:bibit000132,nineteenth_century_bridge,bibit,bibit000132,Giambi ed Epodi,"Carducci, Giosue",component:8e3d6dbc9f72cc40,author:carducci giosue,21544,train,deterministic_training_component,false
bibit:record:bibit000133,historical_general,bibit,bibit000133,Breve et ingenioso discorso sopra l'opera di Dante,"Carriero, Alessandro",component:6bebbf261fc7f98e,author:alessandro carriero,14282,train,deterministic_training_component,false
bibit:record:bibit000134,historical_general,bibit,bibit000134,Historie dell'antichissima città di Pisa,"Setaioli, Giuseppe",component:06e1ea71c947f18a,author:giuseppe setaioli,39925,train,deterministic_training_component,false
bibit:record:bibit000137,historical_general,bibit,bibit000137,Vita,"Cellini, Benvenuto",component:30f0effc6fdb52cb,author:benvenuto cellini,235993,train,deterministic_training_component,false
bibit:record:bibit000139,nineteenth_century_bridge,bibit,bibit000139,Le avventure di Pinocchio,"Collodi, Carlo",component:052528e4e8ed8441,author:carlo collodi,65334,train,deterministic_training_component,false
bibit:record:bibit000141,historical_non_sonnet_poetry,bibit,bibit000141,Tutte le poesie,"Corazzini, Sergio",component:3e8f18ece27af7ae,author:corazzini sergio,21689,train,deterministic_training_component,false
bibit:record:bibit000142,historical_general,bibit,bibit000142,Della oratoria e poetica facoltà,"Fuscano, Giovanni Berardino",component:9d88de01626e1c46,author:berardino fuscano giovanni,3835,train,deterministic_training_component,false
bibit:record:bibit000143,historical_general,bibit,bibit000143,Le piacevoli e ridicolose simplicità di Bertoldino,"Croce, Giulio Cesare",component:a0d29afa185714be,author:cesare croce giulio,33782,train,deterministic_training_component,false
bibit:record:bibit000145,historical_general,bibit,bibit000145,Il viandante,"Zinano, Gabriele",component:3e7c33ad687337a9,author:gabriele zinano,12630,train,deterministic_training_component,false
bibit:record:bibit000146,nineteenth_century_bridge,bibit,bibit000146,La flagellazione,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,3207,train,oversize_component_retained_training,true
bibit:record:bibit000147,nineteenth_century_bridge,bibit,bibit000147,Parere su l'ufficio degl'Ispettori degli studi,"Foscolo, Ugo",component:1d89de2ef91ccc3f,author:foscolo ugo,2798,train,oversize_component_retained_training,true
bibit:record:bibit000149,historical_general,bibit,bibit000149,Due Discorsi,"Del Bene, Giulio",component:016d5d1dc8eeb595,author:bene giulio,14577,train,deterministic_training_component,false
bibit:record:bibit000150,historical_non_sonnet_poetry,bibit,bibit000150,Rime,"Della Casa, Giovanni",component:54178b039f17bee2,author:casa giovanni,5667,train,deterministic_training_component,false
bibit:record:bibit000151,historical_general,bibit,bibit000151,Le sottilissime astuzie di Bertoldo,"Croce, Giulio Cesare",component:a0d29afa185714be,author:cesare croce giulio,30362,train,deterministic_training_component,false
bibit:record:bibit000152,historical_general,bibit,bibit000152,Relazione di Germania (1564),"Michiel, Zuan",component:35a77defd162bc4d,author:michiel zuan,28115,train,deterministic_training_component,false
bibit:record:bibit000154,nineteenth_century_bridge,bibit,bibit000154,Il canto della fanciulla,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,150,train,oversize_component_retained_training,true
bibit:record:bibit000155,historical_general,bibit,bibit000155,Pisa illustrata nelle arti del disegno,"Da Morrona, Alessandro",component:117be327f9167a6b,author:alessandro morrona,156238,train,deterministic_training_component,false
bibit:record:bibit000156,historical_general,bibit,bibit000156,Capitoli,"Della Casa, Giovanni",component:54178b039f17bee2,author:casa giovanni,6978,train,deterministic_training_component,false
bibit:record:bibit000157,historical_non_sonnet_poetry,bibit,bibit000157,Poesie,"Lapaccini, Filippo",component:900f96b8f9b0aeca,author:filippo lapaccini,9562,train,deterministic_training_component,false
bibit:record:bibit000158,historical_non_sonnet_poetry,bibit,bibit000158,Rime,"Beccuti, Francesco (detto il Coppetta)",component:5f9b84591d8ed792,author:beccuti coppetta detto francesco,59496,train,deterministic_training_component,false
bibit:record:bibit000159,historical_non_sonnet_poetry,bibit,bibit000159,Rime rifiutate,"Rota, Berardino",component:e8f65d8c98ab23cb,author:berardino rota,939,train,deterministic_training_component,false
bibit:record:bibit000162,historical_non_sonnet_poetry,bibit,bibit000162,Rime,Buonaccorso da Montemagno il Giovane,component:ceda0b7fea24bac9,author:buonaccorso giovane montemagno,417,train,deterministic_training_component,false
bibit:record:bibit000163,historical_general,bibit,bibit000163,Una delle ultime sere di carnovale,"Goldoni, Carlo",component:f62deccbc9586878,author:carlo goldoni,47944,train,deterministic_training_component,false
bibit:record:bibit000164,nineteenth_century_bridge,bibit,bibit000164,Dissertazione sopra le virtù intellettuali,"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,2851,train,oversize_component_retained_training,true
bibit:record:bibit000165,nineteenth_century_bridge,bibit,bibit000165,Scritti sul Boccaccio,"Foscolo, Ugo",component:1d89de2ef91ccc3f,author:foscolo ugo,41490,train,oversize_component_retained_training,true
bibit:record:bibit000166,historical_non_sonnet_poetry,bibit,bibit000166,Poesie,"Calzaiuolo, Antonio",component:32ae7a5e2d6d7877,author:antonio calzaiuolo,224,train,deterministic_training_component,false
bibit:record:bibit000168,historical_non_sonnet_poetry,bibit,bibit000168,Poesie,"Belcari, Feo",component:e307bedd11d0f27c,author:belcari feo,1294,train,deterministic_training_component,false
bibit:record:bibit000169,historical_non_sonnet_poetry,bibit,bibit000169,Il Gierusalemme,"Tasso, Torquato",component:bb1291d7280b42e3,author:tasso torquato,12884,train,oversize_component_retained_training,true
bibit:record:bibit000170,historical_general,bibit,bibit000170,L'asino,"Machiavelli, Niccolò",component:8dfa4fa36c17dd19,author:machiavelli niccolo,12959,train,deterministic_training_component,false
bibit:record:bibit000171,historical_general,bibit,bibit000171,La Navigazione di San Brandano,Non definito,component:d340ccd19ef8e6a0,author:definito non,38083,train,oversize_component_retained_training,true
bibit:record:bibit000172,nineteenth_century_bridge,bibit,bibit000172,"Presentazione delle Canzoni (Nuovo Ricoglitore, 1825)","Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,1798,train,oversize_component_retained_training,true
bibit:record:bibit000173,nineteenth_century_bridge,bibit,bibit000173,Canzoni (ed. Roma 1818),"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,4608,train,oversize_component_retained_training,true
bibit:record:bibit000174,nineteenth_century_bridge,bibit,bibit000174,Componimenti poetici (1810),"Leopardi, Giacomo",component:41790e7272ca97a4,author:giacomo leopardi,11555,train,oversize_component_retained_training,true
bibit:record:bibit000175,nineteenth_century_bridge,bibit,bibit000175,I partiti anarchici in Italia,"Bonghi, Ruggero",component:05c9b74296794353,author:bonghi ruggero,31704,train,deterministic_training_component,false
bibit:record:bibit000177,historical_general,bibit,bibit000177,"Discorso intorno a que' principii, cause et accrescimenti che la comedia, la tragedia et il poema eroico ricevono dalla filosofia morale e civile e da'governatori delle republiche","Denores, Giason",component:a579197978765056,author:denores giason,24143,train,deterministic_training_component,false
bibit:record:bibit000178,historical_general,bibit,bibit000178,Breve trattato dell'oratore,"Denores, Giason",component:a579197978765056,author:denores giason,16138,train,deterministic_training_component,false
bibit:record:bibit000179,historical_non_sonnet_poetry,bibit,bibit000179,Poesie italiane,"Epicuro, Marc'Antonio",component:3c2a5d0e2b101c8a,author:antonio epicuro marc,6002,validation,selected_global_author_work_validation_component,false
bibit:record:bibit000180,historical_general,bibit,bibit000180,Mirzia,"Epicuro, Marc'Antonio",component:3c2a5d0e2b101c8a,author:antonio epicuro marc,22690,validation,selected_global_author_work_validation_component,false
bibit:record:bibit000181,historical_general,bibit,bibit000181,Clizia,"Machiavelli, Niccolò",component:8dfa4fa36c17dd19,author:machiavelli niccolo,21867,train,deterministic_training_component,false
bibit:record:bibit000182,historical_general,bibit,bibit000182,El libro dell'amore,"Ficino, Marsilio",component:9c8637d51a712802,author:ficino marsilio,66092,train,deterministic_training_component,false
bibit:record:bibit000183,historical_general,bibit,bibit000183,Ragionamenti,"Firenzuola, Agnolo",component:5a3d7456bffda78c,author:agnolo firenzuola,65425,train,deterministic_training_component,false
bibit:record:bibit000184,nineteenth_century_bridge,bibit,bibit000184,Piccolo mondo moderno,"Fogazzaro, Antonio",component:f9985fa468da1c5a,author:antonio fogazzaro,140549,train,deterministic_training_component,false
