candidate_id,ebook_id,title,authors,source_kind,stanza_pattern,line_count,character_start,character_end,source_text_sha256,cleaned_text_sha256,first_line,last_line,exact_reference_ids,near_reference_ids,heldout_reference_ids,duplicate_gutenberg_candidate_ids,manual_review_resolution,manual_review_rationale,candidate_decision
pg17687:char25247-25851,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,25247,25851,f100b442ff53750af3ebba12fad740ae66069857cd7152a9830047ad8d07cb03,881e2c57d8e2b99ae9b9c608f7a452803885af42ad221baa3bf9314403945a95,"E noi veniamo a te, strana Maliarda,",squilla per noi la più ardita canzone.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char25863-26470,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,25863,26470,2d5b6ce2788ac3d9b066e3c04f4f9f51491e077316606dbbfb5a03ac6be4bc51,2ffc97080438e9fa0e8247cd99c45ffe4473cf3a79d582adf21c7f11ba49fdbb,"E noi veniamo a te, strana Sirena,",sotto il bacio dei tuoi fatali Eletti.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char26498-27090,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,26498,27090,d762e04b8f08c1fc1d9d1255d4c0135420917207df8acaaf401dcf0e0dc9d44f,9ae4045bdbc4e156ab24493170c01a5fd1c9bfb39267966345582203ab0a4c13,"E noi ridiam di te, delle Chimere,",la triste forma della Maga Oriana.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char27208-27818,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,27208,27818,169d74b71bcbb6c3149a4cd9f60998a9a9af46dab9a714ed15fb77aaff97aeb3,1d8134293334497ef414c2c677700b004acf2bddb9727f1efc90b31e4899783f,S'erge il trono di bronzo e stanno intorno,aspettan la Sua vista riverenti.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char27989-28569,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,27989,28569,305d189ee159cec5f559793c5bda7050728d5908e6fb0b9219fd8124560498f2,404c4237c555e2a10fd4061b5af430df892e543932c77617a310e0a7b6a8ab6e,"Libero il cuore e con l'acuta mente,","«Mondo, al vegliar delle coscienze ardite.»",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char28746-29347,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,28746,29347,c1bd2b635933297e5e08265e55f532d07e9bbd01ba10f1f8cca8d88228dec5d3,3f0b5d23163c013b317157516087804f895a8d11e258572a5ffbb493a0ecd5c8,«I ricchi mercatanti di Tangeri,"«a ridur perle ed ambre e argento eletto,",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char29523-30128,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,29523,30128,c91241bb46109c2608e8801c44e7b0470d90b6aace70a57128746677b7a406c7,66fb55fca9ef1f81cd15a961742a4cccd55e753bc21bf06fabc997e6a5b5532f,"«Quindi, vagare le galee vermiglie,",«e guida nuda Oriana e strofe e coro.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char30304-30903,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,30304,30903,c1e17a645d7af1b64e178a24c6f7e34e89b277c48ff147fa5d1c34ad7cdd91ea,cc3ee3c6ca3e73607818c2c475f21e659e8b2c3642b81c1f95898be8696bb7b9,"«Ma Oriana sta nelli ampi suoi verzieri,",«corrente mette capo ad Acheronte.»,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char31066-31661,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,31066,31661,979edc795d1b4b8692d983160f0a32f8e22e2f8acccc223539d6b66f4c9c6fb2,28c768e73442669afdbf5129b221eee3c3665ac618cd202a6c43724fa4ab1eba,Ed ammonia: «Così io; dalla stanza,«dei biondi teschi accorrà lo sparviere.»,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char32034-32629,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,32034,32629,ac1543480a1b5880ced8108495ec441b1f2e12317471b195c57760e602cf744f,c87619109e165c193d5a8b1481b8d1446a9a178bce4c5ddb34ffdafd9e5d1ad9,"Prostesa Ella fatale e sovrumana,","«Sempre sperando nel sogno, o Fratelli!»",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char32809-33389,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,32809,33389,49f44eaef2aaa35469c49b0e6aeca4bf05a1887aa4fc58503108efbf20c2e8bd,4c75df881e57f6321199873aecc6b68d1f8ce37d8d0f89c7410a4dcfeb40ae02,Videro le Galee rider dal mare,veleggiar per region' non pria tentate.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char33574-34163,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,33574,34163,ceaccc66af0d7099db3ff4248fc08feba45201092e9eba59cf75b7ac997c135e,0f0b45afcafaed15468e856b6ec013f1d0a06b3eb2a3697df8dac66dc4d87f00,«Già le bracie splendettero ai fornelli,dell'Or che l'alambicco non appaga.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char34343-34933,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,34343,34933,d96e53dde694a4e9ff7290abe91e45934fcd93b63cc664bae5690e173ba6b403,a2befbd3ca0cb4e0f1ebc15dab17d782a7c56d0fdcea0cd15c3656281672635a,Acrasia c'invitava ai suoi festini,"oltre al Signor, siede Illusione in groppa:",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char35123-35704,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,35123,35704,81f63655c4e3105d86b382c3bd6ae5dc5480f7ae67503d31d33ff5e000cab799,587aa437026a6c1c172582cf3f978ad0fb2348d5a9f77225df9e0210f028f989,Suonâr le note or meste ed or giulive,a ricercare il Verbo dell'Amore.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char35901-36511,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,35901,36511,e9e3a2cc2c444abfd8bd373951151f30cb90fd27e67f57d048312e9847c94ce6,b3e7845f46d03d959c5639490a7c67d49424791fa22f916863a12eaf4a8778df,"Disse Gloriana, e via per le fiorite","salutasse all'arrivo, erto in sul lito.",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char36698-37296,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,36698,37296,62d99c8dd6b7b2a1391fff2bb49a10827292b75977ee57139463304962f62041,d7f7322cd4cc1ab2c03681cb747e639383a69602fea66bba1bfc90c00724bc24,"Più avanti, avanti ancora. I miei palazzi,",baci alle donne ed anima ai misteri!,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char37474-38085,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,37474,38085,2e7c5c982043cde4dc2f934c31858bcf73d319226ccd78853a0f4716928d9b1b,b520f04b469408587d4ad55cd71cdee63c3950898725cca121a4bfb6bcfecd11,E ancora e sempre avanti; e se i palagi,come vessillo per l'immensa piana.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char56339-56923,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,56339,56923,418b414351c1d6f196d3f2ead36376f81c19af214c31d93c52c68e21e2785368,c5fab365fafa89078d5a24d56f17a010a02fff7cdbe6d880ac9af3082e3ed498,Leziosa pastorella incipriata,a cantarvi l'omaggi trionfali.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char56930-57515,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,56930,57515,a371aac8eb206e48698924026a904d79745cccb39af11322188930209b102967,8a57c58c4b90ff31f9f4c8cfa890d120e5bfd3232eb3a2d947665cf84225ef43,"Idolo strano, sotto un padiglione","la mia voce, divina incantatrice!",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char57523-58107,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,57523,58107,779afcd860b10bbf7e670fb2a223563dc33902fc2e1c332b7275a379a890616c,f87519601656d3858ac75566ba02503618ef8f032a38fcd36a6c2e8cda6aa8c5,"I miei Desiri, cupidi sparvieri,",mentre il riso ringrazia alli sparvieri.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char58114-58712,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,58114,58712,a508038c9899cb404bffb3b959e87b41229e5ae217d997d18dab96b8ff478d08,0555c2d05bc0cfcd78615c510f39f18878da96a06415c5af0b6d185839b98991,"Tenea sotto un broccato a padiglione,",lasciâr la Coppa muta di splendori.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char58718-59309,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,58718,59309,4d43ecec0f77b84511427b9dfc6f67dec269f4fe5b7cfbe715b071c0d45da40a,88857f0c6843d3f74b48d2bf0cfb7380c0cd414d3285dec69dbdee85ca6266bb,Mitico serpe candido e rosato,"nè cessano, morendo, l'armonia.",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char59316-59899,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,59316,59899,90b768740a5412557b7cf4839bad60ae469a610d7b08eed248f900f864760c0e,bbfb45ac8441996729ba441998925383c7e0ff124fc6bac1817368bf669fad57,"Stava nel Tempio, dove io solo adoro,",fattura e stolto più l'amarla.»,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char59907-60490,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,59907,60490,fdab7b892dd0dc9f9cecbd086d56816ce531c890cfd22ecead443e34df39ef65,1607463f9f917ce33926e16538d1a914dc7f17bdd655c1c62852db5431d76273,"Penelope moderna, dalle spole",nè disfate: e la tela è un fazzoletto.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char60499-61099,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,60499,61099,6dbf14f109b0c4f7aef8a25a3fd7b8a562a32e766641cb6375828abe016d2dbf,83489a3500ff1ea332402248bcdf7563fbadf6588ed075a0f01511ab719ac9c2,"Il tappeto su cui, Bella, danzate","l'occhio ridendo ancor, calmo e divino.",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char61106-61703,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,61106,61703,1a0edd1c51e86358befccc1567dc79e03e43c76d886cb7cd1edddfff06c2a7e8,980b02805f750b9904b3b2905ab001ec6a96ef65e50bae40f6ea7bd62743ac3d,Coi lucidi guinzagli il buon Valletto,"ebra, la mente al suo Piacere Iddio.",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char61709-62300,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,61709,62300,7f8064392d390960fa21c15e73792f8f988aa7a28f6de6545d7735d78b2109b6,9e05cd6a3b1cdbe82ed8f7bd95ab2cf46cf003a8ced9e95856c86d00e84e2cc1,"Ma poi ch'io diverrò canuto e affranto,",tenterò flebilmente la Romanza.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char63270-63858,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,14,14,63270,63858,4738e72dd490a9987ce8b458c2b704a4c8bcf7662fe3afc1ba226146aa923d39,26432c27d1f71fb129d64169f2c6a3c1d4af9369686ca9922a9faf147eb40373,"Il plenilunio sta, Dame e Messeri,",coi mirabil'incanti della notte.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17687:char83648-84055,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,14,14,83648,84055,18dc8be6807b3fbf3cff0945b17e64047c3d8139106d219a40e3248a1a63ef2a,ba152b61d2668e869146f65422ebc4c97893d09f5297fa9884451513d9e549fe,Il preludio del giorno,"e avanti ancor, cantiamo.",,,,,exclude_not_sonnet,"Fourteen short refrain-like lines form a dramatic air, not a standard sonnet.",exclude_manual_not_sonnet
pg17687:char85066-85633,17687,Il libro delle figurazioni ideali,"Lucini, Gian Pietro",structural_14_line,8-6,14,85066,85633,6f00ffdad457cfb9cadda7b04fff305b31cb06d625c7c840842a0e094b6a4d56,72bb6682bc6732e16a34ca8399cfea855f30f13d1f160e9ac3712ec404620c50,"Sbuffò il polledro ancor, nè pel deserto","«vado, alla Morte!»",,,,,exclude_not_sonnet,"Window is the tail of a longer narrative passage with irregular stanza structure, not a sonnet.",exclude_manual_not_sonnet
pg17905:char41588-42143,17905,Vecchie cadenze e nuove,"De Marchi, Emilio",structural_14_line,4-4-3-3,14,41588,42143,24217be5850b146dfa4440b75dedefb0fd553f1410956175d7496465fc96184b,83e52a8f71efb22bd1bdb3b6d03775046ca4354ed2558bcf045c0d5058cf7531,"Vorrei, se fossi il Re delle magìe,",Farei nel core gli amorosi incanti.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17905:char42152-42716,17905,Vecchie cadenze e nuove,"De Marchi, Emilio",structural_14_line,4-4-3-3,14,42152,42716,7d5620382fa2922dc2f1652835d8863bb82d95af7886f703b2a35ffa0c098201,26f897c82b4141995d9b5438acc894004927bb321f573766e9ef806f21be01b2,"Allora, o verga magica, vorrei","A chieder grazia, disciogliendo il crine.",,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17905:char42726-43287,17905,Vecchie cadenze e nuove,"De Marchi, Emilio",structural_14_line,4-4-3-3,14,42726,43287,cf0ca11963eaae5304d8bb7a28ab2a13e8e012871ea618c147a2cd73edb05d6f,a2d4bea34b6229b38b0014bcd6d48455e54eda6d6b152f3b5a4d8b68e87ae6e5,Al nuovo cenno si aprirebbe il coro,E tramutato il mondo in Norimberga.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17905:char122406-122980,17905,Vecchie cadenze e nuove,"De Marchi, Emilio",structural_14_line,4-4-3-3,14,122406,122980,130c560003259d8c066eb894982aedbdf0b620ec1ea07ed47227f58fa695fa27,4ff75857d255ad1d51a656b168ada450514aaa6f7fbdc08120fefc94b8bf5676,"Ombre placide e molli, ombre silenti",Ed il fuggire d'una rosea vesta.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17905:char123010-123548,17905,Vecchie cadenze e nuove,"De Marchi, Emilio",structural_14_line,4-4-3-3,14,123010,123548,bd86671d9022934f829ac03f5e8af5c43c85ca2a62fe7ab8087f1c3b9d62ebc7,11d4e046f529960db9ded94ce910be8e343718d5fadaa04eb7829f773f50c337,Mentre le luci di mia vita a poco,A ricercar le vecchie corde invano.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
pg17906:char62994-63886,17906,Libro proibito,"Ghislanzoni, Antonio",structural_14_line,14,14,62994,63886,93d1b7e88f66977aa81fe9e5a15dc8e934c12aa96b1b33932fc683b1f8182ac8,541a02f36cc6d4a55706f19e6cf80286f22b958b3919901e2aad2be39331415a,"[22] L'opinione, accreditata dai pedanti, che la vitalità dì un",di lingua.,,,,,exclude_not_sonnet,"Fourteen-line detector window is prose footnote material, not verse or a bounded sonnet.",exclude_manual_not_sonnet
pg19428:char21555-22177,19428,Le nostalgie,"Gualdo, Luigi",structural_14_line,14,14,21555,22177,837fd176200e05e447ad96a39f5c9bdc50ed3e40c7bbce1bc4f4e63b49b2ae61,53b5ee53807aff68edfe46fd921a503d6720df254149ef27c6be75a7a2eda0dc,"Ella avea chiuso gli occhi, e quasi inconsciente",E con le labbra ardenti le dolci labbra prese.,,,,,exclude_not_sonnet,"Fourteen-line window is a continuous narrative passage, not a bounded sonnet.",exclude_manual_not_sonnet
pg19428:char34527-35018,19428,Le nostalgie,"Gualdo, Luigi",structural_14_line,4-4-3-3,14,34527,35018,afb06738f3016c037f179906b31648137acfa92d55620701f3f97d2f0e462dbd,fdec757cda5679398482893173c381d55852531a2b48ade221318792095cedf2,O felice la Grecia! Sensüale,Era indulgente per la stirpe umana.,,,,,accept_structurally_verified_standard_sonnet,Bounded fourteen-line Italian poem has a coherent sonnet octave-and-sestet or quatrain-and-tercet rhyme structure.,eligible_standard_sonnet_pending_processed_build
