ebook_id,title,authors,author_birth_years,author_death_years,languages,subjects,bookshelves,download_count,copyright,media_type,landing_page_url,plain_text_url,preliminary_role,period_bucket,inventory_status,genre_evidence,period_evidence,language_variety_evidence,translation_evidence,existing_project_source_ids,possible_existing_work_matches,intra_gutenberg_duplicate_ids,notes
21425,Le rive della Bormida nel 1794,"Abba, Giuseppe Cesare",1838,1910,it,Fiction,Category: Historical Novels;IT Romanzi,6956,False,Text,https://www.gutenberg.org/ebooks/21425,https://www.gutenberg.org/ebooks/21425.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1910,,,,,,Metadata-only role; full-text and edition audit required before activation.
22020,L'indomani,Neera,1846,1918,it,Fiction,Category: Novels;IT Romanzi,6938,False,Text,https://www.gutenberg.org/ebooks/22020,https://www.gutenberg.org/ebooks/22020.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1918,,,,,,Metadata-only role; full-text and edition audit required before activation.
22024,L'olmo e l'edera,"Barrili, Anton Giulio",1836,1908,it,Fiction,Category: Novels;IT Romanzi,6903,False,Text,https://www.gutenberg.org/ebooks/22024,https://www.gutenberg.org/ebooks/22024.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1908,,,,,,Metadata-only role; full-text and edition audit required before activation.
22499,La crisi: commedia in tre atti,"Praga, Marco",1862,1929,it,Italian drama -- 20th century,Category: Plays/Films/Dramas;IT Teatro in prosa,6556,False,Text,https://www.gutenberg.org/ebooks/22499,https://www.gutenberg.org/ebooks/22499.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1929,,,,,,Metadata-only role; full-text and edition audit required before activation.
21424,"Il Comento alla Divina Commedia, e gli altri scritti intorno a Dante, vol. 1","Boccaccio, Giovanni",1313,1375,it,"Dante Alighieri, 1265-1321. Divina commedia",Category: Biographies;Category: History - Other;Category: Philosophy & Ethics;IT Letteratura,6547,False,Text,https://www.gutenberg.org/ebooks/21424,https://www.gutenberg.org/ebooks/21424.txt.utf-8,historical_general_candidate,origins_through_1800,audit_then_deduplicate,,latest catalog author death year=1375,,,,,,Metadata-only role; full-text and edition audit required before activation.
23297,La Gioconda,"D'Annunzio, Gabriele",1863,1938,it,Italian drama -- 19th century;Tragedies (Drama),Banned Books from Anne Haight's list;Category: Plays/Films/Dramas;IT Teatro in prosa,6530,False,Text,https://www.gutenberg.org/ebooks/23297,https://www.gutenberg.org/ebooks/23297.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1938,,,,,,Metadata-only role; full-text and edition audit required before activation.
25181,Castel Gavone: Storia del secolo XV,"Barrili, Anton Giulio",1836,1908,it,Historical fiction,Category: Historical Novels;IT Romanzi storici,6300,False,Text,https://www.gutenberg.org/ebooks/25181,https://www.gutenberg.org/ebooks/25181.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1908,,,,,,Metadata-only role; full-text and edition audit required before activation.
25180,La favorita del Mahdi,"Salgari, Emilio",1862,1911,it,"Adventure stories;Mahdi, Muhammad Ahmad, 1848-1885 -- Fiction",Category: Adventure;Category: Historical Novels;Category: Novels;IT Letteratura per ragazzi,6290,False,Text,https://www.gutenberg.org/ebooks/25180,https://www.gutenberg.org/ebooks/25180.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1911,,,,,,Metadata-only role; full-text and edition audit required before activation.
27433,Il Quadriregio,"Frezzi, Federico",,1416,it,Poetry,"Category: Mythology, Legends & Folklore;Category: Poetry;IT Poesia",6052,False,Text,https://www.gutenberg.org/ebooks/27433,https://www.gutenberg.org/ebooks/27433.txt.utf-8,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,Poetry,latest catalog author death year=1416,,,,,,Metadata-only role; full-text and edition audit required before activation.
27608,Bollettino del Club Alpino Italiano 1895-96: Vol. 29 Num. 62,Various,,,it,Alps -- Description and travel -- Periodicals;Mountaineering -- Periodicals,Category: Archaeology & Anthropology;Category: Biographies;Category: History - European;Category: Travel Writing;IT Geografia,5979,False,Text,https://www.gutenberg.org/ebooks/27608,https://www.gutenberg.org/ebooks/27608.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.
22503,Piccoli eroi: Libro per i ragazzi,"Treves, Virginia",1849,1916,it,Children -- Conduct of life -- Juvenile fiction;Siblings -- Juvenile fiction,Category: Children & Young Adult Reading;Category: Novels;IT Letteratura per ragazzi,5687,False,Text,https://www.gutenberg.org/ebooks/22503,https://www.gutenberg.org/ebooks/22503.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1916,,,,,,Metadata-only role; full-text and edition audit required before activation.
25209,I ladri della pace,"Bianchi, Arturo",1856,1939,it,Italian fiction -- 19th century,Category: Historical Novels;Category: Novels;IT Romanzi,5427,False,Text,https://www.gutenberg.org/ebooks/25209,https://www.gutenberg.org/ebooks/25209.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1939,,,,,,Metadata-only role; full-text and edition audit required before activation.
26171,La volpe di Sparta,"Zùccoli, Luciano",1868,1929,it,Italian fiction -- 20th century,Category: Novels;IT Romanzi,5385,False,Text,https://www.gutenberg.org/ebooks/26171,https://www.gutenberg.org/ebooks/26171.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1929,,,,,,Metadata-only role; full-text and edition audit required before activation.
22502,Economisti del cinque e seicento,"Montanari, Geminiano;Scaruffi, Gasparo;Serra, Antonio, active 1613",1633;1519;,1687;1584;,it,Economics;Money,Category: Economics;Category: History - Early Modern (c. 1450-1750);IT Economia,5337,False,Text,https://www.gutenberg.org/ebooks/22502,https://www.gutenberg.org/ebooks/22502.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.
26452,La testa della vipera,"Bersezio, Vittorio",1830,1900,it,Fiction,Category: Novels;IT Romanzi,5218,False,Text,https://www.gutenberg.org/ebooks/26452,https://www.gutenberg.org/ebooks/26452.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1900,,,,,,Metadata-only role; full-text and edition audit required before activation.
25318,Studi intorno alla storia della Lombardia: negli ultimi trent'anni e delle cagioni del difetto d'energia dei lombardi,"Belgioioso, Cristina",1808,1871,it,Lombardy (Italy) -- History,Category: History - European;Category: History - Modern (1750+);Category: History - Warfare;IT Storia,5072,False,Text,https://www.gutenberg.org/ebooks/25318,https://www.gutenberg.org/ebooks/25318.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1871,,,,,,Metadata-only role; full-text and edition audit required before activation.
27825,Isaotta Guttadàuro ed altre poesie,"D'Annunzio, Gabriele",1863,1938,it,Poetry,Banned Books from Anne Haight's list;Category: Poetry;IT Poesia,4870,False,Text,https://www.gutenberg.org/ebooks/27825,https://www.gutenberg.org/ebooks/27825.txt.utf-8,historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,poesie,latest catalog author death year=1938,,,,,,Metadata-only role; full-text and edition audit required before activation.
21422,Novelle lombarde,"Avancini, Avancinio",1866,1939,it,"Italian fiction -- 19th century;Short stories, Italian",Category: Short Stories;IT Racconti,4330,False,Text,https://www.gutenberg.org/ebooks/21422,https://www.gutenberg.org/ebooks/21422.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1939,,,,,,Metadata-only role; full-text and edition audit required before activation.
26169,La Tempesta,"Shakespeare, William",1564,1616,it,Fathers and daughters -- Drama;Islands -- Drama;Magicians -- Drama;Political refugees -- Drama;Shipwreck victims -- Drama;Spirits -- Drama;Tragicomedy,Category: British Literature;Category: Classics of Literature;Category: Plays/Films/Dramas;IT Teatro in prosa,4245,False,Text,https://www.gutenberg.org/ebooks/26169,https://www.gutenberg.org/ebooks/26169.txt.utf-8,historical_general_candidate,origins_through_1800,audit_then_deduplicate,,latest catalog author death year=1616,,,,,,Metadata-only role; full-text and edition audit required before activation.
25177,Tristi Amori,"Giacosa, Giuseppe",1847,1906,it,Italian drama,Category: Plays/Films/Dramas;IT Teatro in prosa,4233,False,Text,https://www.gutenberg.org/ebooks/25177,https://www.gutenberg.org/ebooks/25177.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1906,,,,,,Metadata-only role; full-text and edition audit required before activation.
22507,Romanzo d'una signorina per bene,"Vertua Gentile, Anna",1850,1926,it,Fiction,Category: Novels;IT Romanzi,4226,False,Text,https://www.gutenberg.org/ebooks/22507,https://www.gutenberg.org/ebooks/22507.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1926,,,,,,Metadata-only role; full-text and edition audit required before activation.
22505,Riconciliazione,"Guidi, Tommasina",1833,1903,it,Fiction,Category: Novels;IT Romanzi,4147,False,Text,https://www.gutenberg.org/ebooks/22505,https://www.gutenberg.org/ebooks/22505.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1903,,,,,,Metadata-only role; full-text and edition audit required before activation.
22025,Costituzione della Repubblica Italiana e Statuti Costituzionali del Regno d'Italia,Anonymous,,,it,Constitutional law -- Italian Republic (1802-1805),Category: History - European;Category: History - Modern (1750+);Category: Law & Criminology;IT Legge,3871,False,Text,https://www.gutenberg.org/ebooks/22025,https://www.gutenberg.org/ebooks/22025.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.
27358,Olocausto,"Oriani, Alfredo",1852,1909,it,Italian fiction -- 20th century,Category: Novels;IT Romanzi,3717,False,Text,https://www.gutenberg.org/ebooks/27358,https://www.gutenberg.org/ebooks/27358.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1909,,,,,,Metadata-only role; full-text and edition audit required before activation.
27919,Abissinia: Giornale di un viaggio,"Vigoni, Giuseppe",1846,1914,it,Ethiopia -- Description and travel,Category: Travel Writing;IT Viaggi,3511,False,Text,https://www.gutenberg.org/ebooks/27919,https://www.gutenberg.org/ebooks/27919.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1914,,,,,,Metadata-only role; full-text and edition audit required before activation.
25197,"Mentana e il dito di Dio: Episodi narrati dal superstite Ettore Pozzi - Seconda edizione, con importanti aggiunte fatte dall'Autore","Pozzi, Ernesto",1843,1904,it,"Mentana, Battle of, Mentana, Italy, 1867;Papal States -- History -- 1815-1870",Category: Biographies;Category: History - European;Category: History - Modern (1750+);IT Storia,3491,False,Text,https://www.gutenberg.org/ebooks/25197,https://www.gutenberg.org/ebooks/25197.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1904,,,,,,Metadata-only role; full-text and edition audit required before activation.
25199,Cantoni il volontario,"Garibaldi, Giuseppe",1807,1882,it,Historical fiction,Category: Adventure;Category: Historical Novels;Category: Novels;IT Romanzi storici,3298,False,Text,https://www.gutenberg.org/ebooks/25199,https://www.gutenberg.org/ebooks/25199.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1882,,,,,,Metadata-only role; full-text and edition audit required before activation.
21420,La trovatella di Milano,"Invernizio, Carolina",1851,1916,it,Fiction,Category: Historical Novels;Category: Novels;IT Romanzi,3293,False,Text,https://www.gutenberg.org/ebooks/21420,https://www.gutenberg.org/ebooks/21420.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1916,,,,,,Metadata-only role; full-text and edition audit required before activation.
26453,La pianta dei sospiri: con alcuni cenni su la vita e su le opere dell'autore,"Sacchi, Defendente",1796,1840,it,Italian fiction -- 19th century,Category: Novels;IT Romanzi,3075,False,Text,https://www.gutenberg.org/ebooks/26453,https://www.gutenberg.org/ebooks/26453.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1840,,,,,,Metadata-only role; full-text and edition audit required before activation.
28317,La Francia dal primo impero al 1871. Volume 2,"Treitschke, Heinrich von",1834,1896,it,France -- History -- 1789-1900,Category: History - European;Category: History - Modern (1750+);IT Storia,3055,False,Text,https://www.gutenberg.org/ebooks/28317,https://www.gutenberg.org/ebooks/28317.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1896,,,,,,Metadata-only role; full-text and edition audit required before activation.
25175,I sogni dell'Anarchico,"Mioni, Ugo",1870,1935,it,Italian fiction -- 20th century,Category: Novels;IT Romanzi,2946,False,Text,https://www.gutenberg.org/ebooks/25175,https://www.gutenberg.org/ebooks/25175.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1935,,,,,,Metadata-only role; full-text and edition audit required before activation.
22504,Il mistero del poeta,"Fogazzaro, Antonio",1842,1911,it,Italian fiction -- 19th century,Category: Novels;IT Romanzi,2814,False,Text,https://www.gutenberg.org/ebooks/22504,https://www.gutenberg.org/ebooks/22504.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1911,,,,,,Metadata-only role; full-text and edition audit required before activation.
27640,Ricordi di Londra,"De Amicis, Edmondo;Simonin, Louis",1846;1830,1908;1886,it,London (England) -- Description and travel;Poor -- England -- London,Category: Travel Writing;IT Viaggi,2801,False,Text,https://www.gutenberg.org/ebooks/27640,https://www.gutenberg.org/ebooks/27640.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1908,,,,,,Metadata-only role; full-text and edition audit required before activation.
25198,La Cintia,"Porta, Giambattista della",,1615,it,Italian drama,Category: Humour;Category: Plays/Films/Dramas;Category: Romance;IT Teatro in prosa,2707,False,Text,https://www.gutenberg.org/ebooks/25198,https://www.gutenberg.org/ebooks/25198.txt.utf-8,historical_general_candidate,origins_through_1800,audit_then_deduplicate,,latest catalog author death year=1615,,,,,,Metadata-only role; full-text and edition audit required before activation.
25211,"Il processo e l'assoluzione di ""Mafarka il Futurista""","Capuana, Luigi;Marinetti, F. T.;Barzilai, Salvatore;Cappa, Innocenzo;Sarfatti, Cesare",1839;1876;;1875;,1915;1944;;1954;,it,"Futurism (Literary movement);Marinetti, Filippo Tommaso, 1876-1944. Mafarka le futuriste",Category: Art;Category: History - Modern (1750+);IT Legge,2593,False,Text,https://www.gutenberg.org/ebooks/25211,https://www.gutenberg.org/ebooks/25211.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.
21683,Gli duoi fratelli rivali,"Porta, Giambattista della",,1615,it,Drama,Category: Plays/Films/Dramas;IT Teatro in prosa,2552,False,Text,https://www.gutenberg.org/ebooks/21683,https://www.gutenberg.org/ebooks/21683.txt.utf-8,historical_general_candidate,origins_through_1800,audit_then_deduplicate,,latest catalog author death year=1615,,,,,,Metadata-only role; full-text and edition audit required before activation.
22506,Le tre valli della Sicilia,"Sangiorgio, Gaetano",1843,1910,it,Fiction,Category: Historical Novels;IT Romanzi,2484,False,Text,https://www.gutenberg.org/ebooks/22506,https://www.gutenberg.org/ebooks/22506.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1910,,,,,,Metadata-only role; full-text and edition audit required before activation.
25605,I misteri del processo Monti e Tognetti,"Sanvittore, Gaetano",,,it,Lawsuits -- Fiction;Vatican -- Fiction,Category: Historical Novels;IT Romanzi,2457,False,Text,https://www.gutenberg.org/ebooks/25605,https://www.gutenberg.org/ebooks/25605.txt.utf-8,date_and_role_review,unknown,review_missing_period_evidence,,one or more authors have no death year,,,,,,Metadata-only role; full-text and edition audit required before activation.
26166,Il partito radicale e il radicalismo italiano,"Murri, Romolo",1870,1944,it,Italy -- Politics and government,Category: History - European;Category: Politics;IT Scienze politiche,2424,False,Text,https://www.gutenberg.org/ebooks/26166,https://www.gutenberg.org/ebooks/26166.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1944,,,,,,Metadata-only role; full-text and edition audit required before activation.
21423,L'infedele,"Serao, Matilde",1856,1927,it,Italian fiction,Category: Novels;IT Romanzi,2210,False,Text,https://www.gutenberg.org/ebooks/21423,https://www.gutenberg.org/ebooks/21423.txt.utf-8,date_and_role_review,author_died_after_1900_review,review_work_publication_date,,latest catalog author death year=1927,,,,,,Metadata-only role; full-text and edition audit required before activation.
1000,La Divina Commedia di Dante: Complete,Dante Alighieri,1265,1321,it,"Epic poetry, Italian;Italian poetry -- To 1400",Banned Books from Anne Haight's list;Category: Classics of Literature;Category: Poetry;IT Poesia,1999,False,Text,https://www.gutenberg.org/ebooks/1000,https://www.gutenberg.org/ebooks/1000.txt.utf-8,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,Epic poetry,latest catalog author death year=1321,,,,,,Metadata-only role; full-text and edition audit required before activation.
52484,Le avventure di Pinocchio: Storia di un burattino,"Collodi, Carlo",1826,1890,it,Fairy tales;Pinocchio (Fictitious character) -- Juvenile fiction;Puppets -- Juvenile fiction,Category: Children & Young Adult Reading;Category: Classics of Literature;Category: Novels;IT Letteratura per ragazzi,1781,False,Text,https://www.gutenberg.org/ebooks/52484,https://www.gutenberg.org/ebooks/52484.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1890,,,,,,Metadata-only role; full-text and edition audit required before activation.
25312,Nabuco,"Fontana, Ferdinando",1850,1919,it,Italian drama,Category: History - Ancient;Category: Plays/Films/Dramas;Category: Poetry;IT Teatro in versi,1562,False,Text,https://www.gutenberg.org/ebooks/25312,https://www.gutenberg.org/ebooks/25312.txt.utf-8,historical_non_sonnet_poetry_candidate,author_died_after_1900_review,review_work_publication_date,Poetry,latest catalog author death year=1919,,,,,,Metadata-only role; full-text and edition audit required before activation.
997,Divina Commedia di Dante: Inferno,Dante Alighieri,1265,1321,it,"Epic poetry, Italian;Hell;Italian poetry -- To 1400",Category: Classics of Literature;Category: Poetry;IT Poesia,1482,False,Text,https://www.gutenberg.org/ebooks/997,https://www.gutenberg.org/ebooks/997.txt.utf-8,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,Epic poetry,latest catalog author death year=1321,,,,,,Metadata-only role; full-text and edition audit required before activation.
45334,"I promessi sposi.: Opere di Alessando Manzoni, vol. 1","Manzoni, Alessandro",1785,1873,it,Historical fiction;Italy -- History -- 1559-1789 -- Fiction;Milan (Italy) -- Fiction;Plague -- Fiction,Category: Historical Novels;IT Romanzi storici,1228,False,Text,https://www.gutenberg.org/ebooks/45334,https://www.gutenberg.org/ebooks/45334.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1873,,,,,,Metadata-only role; full-text and edition audit required before activation.
65391,Il Conte di Monte-Cristo,"Dumas, Alexandre;Maquet, Auguste",1802;1813,1870;1888,it,"Adventure stories;Dantès, Edmond (Fictitious character) -- Fiction;France -- History -- 19th century -- Fiction;Historical fiction;Pirates -- Fiction;Prisoners -- Fiction;Revenge -- Fiction",Category: Classics of Literature;Category: French Literature;Category: Historical Novels;Category: Novels,1185,False,Text,https://www.gutenberg.org/ebooks/65391,https://www.gutenberg.org/ebooks/65391.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1888,,,,,,Metadata-only role; full-text and edition audit required before activation.
3747,Orlando Furioso,"Ariosto, Lodovico",1474,1533,it,Roland (Legendary character) -- Romances,"Category: Classics of Literature;Category: History - Early Modern (c. 1450-1750);Category: Mythology, Legends & Folklore;Category: Poetry;IT Poesia",974,False,Text,https://www.gutenberg.org/ebooks/3747,https://www.gutenberg.org/ebooks/3747.txt.utf-8,historical_non_sonnet_poetry_candidate,origins_through_1800,audit_then_deduplicate,Poetry,latest catalog author death year=1533,,,,,,Metadata-only role; full-text and edition audit required before activation.
37099,"Passeggiate per l'Italia, vol. 2","Gregorovius, Ferdinand",1821,1891,it,Italy -- Description and travel,Category: History - European;Category: History - Medieval/Middle Ages;Category: History - Religious;Category: Travel Writing;IT Viaggi,854,False,Text,https://www.gutenberg.org/ebooks/37099,https://www.gutenberg.org/ebooks/37099.txt.utf-8,nineteenth_century_bridge_candidate,nineteenth_century_bridge,audit_then_deduplicate,,latest catalog author death year=1891,,,,,,Metadata-only role; full-text and edition audit required before activation.
