query_id,surface_id,authority,query_text,endpoint_url,result_boundary,response_format,purpose,retrieval_date,http_status,content_type,content_sha256,result_count,verification_status
dalia_05,dalia,official_cnr_ckan_repository,poesia,https://dalia-bo.cnr.it/api/3/action/package_search?q=poesia&rows=100,all matches up to 100 datasets,json,Check the CNR DALIA open-data catalog for historical text datasets.,2026-08-11,200,application/json,f37235d817953a01c596fa3a499180059d4ee3935cb85ba4dcb42d776ccfa071,0,official_or_curated_metadata_response_verified
eurac_01,eurac_clarin,official_clarin_repository,all repository sets,https://clarin.eurac.edu/repository/oai/request?verb=ListSets,complete OAI-PMH set list,xml,Check repository collection scope before any item inventory.,2026-08-11,200,application/xml,6c6a61e578341c9b5a99410d8061c5012bc78c57e7d1ca6fa041f4f509be2023,24,official_or_curated_metadata_response_verified
github_01,github,public_code_repository_index,"historical Italian corpus in:name,description,readme",https://api.github.com/search/repositories?q=historical+Italian+corpus+in%3Aname%2Cdescription%2Creadme&per_page=20,first 20 ranked public repositories,json,Find published corpus repositories and derivative mirrors.,2026-08-11,200,application/json,8222333e0b1d95a2608b7c7288afc0e2b06f5216cb4ff9e3bccc927f0d625f15,722,official_or_curated_metadata_response_verified
github_02,github,public_code_repository_index,"Italian literary corpus in:name,description,readme",https://api.github.com/search/repositories?q=Italian+literary+corpus+in%3Aname%2Cdescription%2Creadme&per_page=20,first 20 ranked public repositories,json,Find published corpus repositories and derivative mirrors.,2026-08-11,200,application/json,86490aef24f657fcf8f44f7ca5031514fecd9ac5042e3b5fe1f47e2134d79621,244,official_or_curated_metadata_response_verified
github_03,github,public_code_repository_index,"Italian drama corpus in:name,description,readme",https://api.github.com/search/repositories?q=Italian+drama+corpus+in%3Aname%2Cdescription%2Creadme&per_page=20,first 20 ranked public repositories,json,Find published corpus repositories and derivative mirrors.,2026-08-11,200,application/json,5c548e158fbf3df07b3b1c7bf7d2a223f2191a322321c9e70a7c028c0dc85c33,146,official_or_curated_metadata_response_verified
github_04,github,public_code_repository_index,"Italian poetry corpus in:name,description,readme",https://api.github.com/search/repositories?q=Italian+poetry+corpus+in%3Aname%2Cdescription%2Creadme&per_page=20,first 20 ranked public repositories,json,Find published corpus repositories and derivative mirrors.,2026-08-11,200,application/json,413ed62a3af106d94fa800d04ef8481d419d60d4229085275f54572e1503f931,204,official_or_curated_metadata_response_verified
ota_01,oxford_text_archive,official_text_archive_catalog,language equals Italian,https://llds.ling-phil.ox.ac.uk/llds/xmlui/discover?query=%2A&filtertype=language&filter_relational_operator=equals&filter=Italian&rpp=100,complete Italian-language facet (up to 100 records),html,Enumerate the archive's bounded Italian-language catalog.,2026-08-11,200,text/html,ffd1ecd7b8c8952feda00f31c8e0a01bbaf773dda06412ac92150ee25dc32d81,43,official_or_curated_metadata_response_verified
phaidra_01,phaidra_unipd,official_institutional_repository,"""letteratura italiana""",https://phaidra.unipd.it/api/search/select?q=%22letteratura+italiana%22&defType=edismax&wt=json&rows=25&fl=pid%2Cdc_title%2Cdc_description%2Cdc_language%2Cdc_subject%2Cdc_rights%2Cdc_date,first 25 ranked records plus total count,json,Check an independent Italian university repository for primary-text editions.,2026-08-11,200,text/plain,11baa8f5a75e522ddbcd170f40d72cb40987df04a3fafa2219b743a61c3c25de,66,official_or_curated_metadata_response_verified
phaidra_02,phaidra_unipd,official_institutional_repository,"""testi storici""",https://phaidra.unipd.it/api/search/select?q=%22testi+storici%22&defType=edismax&wt=json&rows=25&fl=pid%2Cdc_title%2Cdc_description%2Cdc_language%2Cdc_subject%2Cdc_rights%2Cdc_date,first 25 ranked records plus total count,json,Check an independent Italian university repository for primary-text editions.,2026-08-11,200,text/plain,95c6866bad00f976ed53740fa0eb1d0b2344e017c75cd3b00697bbffd84409c4,0,official_or_curated_metadata_response_verified
phaidra_03,phaidra_unipd,official_institutional_repository,"""corpus italiano""",https://phaidra.unipd.it/api/search/select?q=%22corpus+italiano%22&defType=edismax&wt=json&rows=25&fl=pid%2Cdc_title%2Cdc_description%2Cdc_language%2Cdc_subject%2Cdc_rights%2Cdc_date,first 25 ranked records plus total count,json,Check an independent Italian university repository for primary-text editions.,2026-08-11,200,text/plain,cef7c753d35838459458579f0a29c31211cd219f346643a00fde8ae9ae5a25c5,0,official_or_curated_metadata_response_verified
phaidra_04,phaidra_unipd,official_institutional_repository,"""manoscritti italiani""",https://phaidra.unipd.it/api/search/select?q=%22manoscritti+italiani%22&defType=edismax&wt=json&rows=25&fl=pid%2Cdc_title%2Cdc_description%2Cdc_language%2Cdc_subject%2Cdc_rights%2Cdc_date,first 25 ranked records plus total count,json,Check an independent Italian university repository for primary-text editions.,2026-08-11,200,text/plain,f7a738d9af3aeaadb46135806d612db8c539f4add23d8c3d8536ddac69e983fd,1,official_or_curated_metadata_response_verified
phaidra_05,phaidra_unipd,official_institutional_repository,"""poesia italiana""",https://phaidra.unipd.it/api/search/select?q=%22poesia+italiana%22&defType=edismax&wt=json&rows=25&fl=pid%2Cdc_title%2Cdc_description%2Cdc_language%2Cdc_subject%2Cdc_rights%2Cdc_date,first 25 ranked records plus total count,json,Check an independent Italian university repository for primary-text editions.,2026-08-11,200,text/plain,8813799ded8ae95924df0aa1db454895e0865ca15db1e7e8e8bee27752cdf3fe,11,official_or_curated_metadata_response_verified
phaidra_06,phaidra_unipd,official_institutional_repository,"""edizione digitale"" AND Italiano",https://phaidra.unipd.it/api/search/select?q=%22edizione+digitale%22+AND+Italiano&defType=edismax&wt=json&rows=25&fl=pid%2Cdc_title%2Cdc_description%2Cdc_language%2Cdc_subject%2Cdc_rights%2Cdc_date,first 25 ranked records plus total count,json,Check an independent Italian university repository for primary-text editions.,2026-08-11,200,text/plain,7c52f4d382d06cf333e71ea999e939e0c9c097ad570d34810a716773195b753c,0,official_or_curated_metadata_response_verified
re3data_01,re3data,curated_repository_registry,Italian language,https://www.re3data.org/api/beta/repositories?query=Italian+language,all repository matches returned by the public beta API,xml,Find independent repositories rather than individual works.,2026-08-11,200,text/xml,e2cb7bbe690876da135b814578464c28d2c1d838be7ac75f5f5bce6c7d39c400,5,official_or_curated_metadata_response_verified
re3data_02,re3data,curated_repository_registry,Italian literature,https://www.re3data.org/api/beta/repositories?query=Italian+literature,all repository matches returned by the public beta API,xml,Find independent repositories rather than individual works.,2026-08-11,200,text/xml,c47f50e509a2d12ce6e2fa821380229311264d74c1acddb6ac67b48758b7517d,1,official_or_curated_metadata_response_verified
re3data_03,re3data,curated_repository_registry,digital humanities Italy,https://www.re3data.org/api/beta/repositories?query=digital+humanities+Italy,all repository matches returned by the public beta API,xml,Find independent repositories rather than individual works.,2026-08-11,200,text/xml,67a62f864b5bcf2150b74152d1d32744d88a8065a17994cd5e8c554fed14ad98,2,official_or_curated_metadata_response_verified
zenodo_phrase_01,zenodo,curated_dataset_repository,"""historical Italian""",https://zenodo.org/api/records?q=%22historical+Italian%22&size=25,first 25 ranked public metadata records,json,"Find deposited historical, literary, and sonnet datasets.",2026-08-11,200,application/json,37c2c411cb5b586c22706e95619c6c5eb66fe9827be9333c46748c2e3dcf8c67,15,official_or_curated_metadata_response_verified
zenodo_phrase_02,zenodo,curated_dataset_repository,"""Italian literary""",https://zenodo.org/api/records?q=%22Italian+literary%22&size=25,first 25 ranked public metadata records,json,"Find deposited historical, literary, and sonnet datasets.",2026-08-11,200,application/json,2844afb58b42fa5e2962dc62a6832f6b7d82460e0ca9252ccfcc252d59d24393,14,official_or_curated_metadata_response_verified
zenodo_phrase_03,zenodo,curated_dataset_repository,"""Italian sonnet""",https://zenodo.org/api/records?q=%22Italian+sonnet%22&size=25,first 25 ranked public metadata records,json,"Find deposited historical, literary, and sonnet datasets.",2026-08-11,200,application/json,88d3f0f68af5fbf5e298de6ede6b84dc7f9accb2ec0e184251f4a1e65dbcc372,0,official_or_curated_metadata_response_verified
zenodo_phrase_04,zenodo,curated_dataset_repository,"""medieval Italian""",https://zenodo.org/api/records?q=%22medieval+Italian%22&size=25,first 25 ranked public metadata records,json,"Find deposited historical, literary, and sonnet datasets.",2026-08-11,200,application/json,bcefcbdedcc77e639f3ab11566b589658a26bbb9095fbd0159d343c7d6b28a8e,19,official_or_curated_metadata_response_verified
zenodo_phrase_05,zenodo,curated_dataset_repository,"""early modern Italian""",https://zenodo.org/api/records?q=%22early+modern+Italian%22&size=25,first 25 ranked public metadata records,json,"Find deposited historical, literary, and sonnet datasets.",2026-08-11,200,application/json,dc74035caacfa91f7ae568ea016a86734ee41584b024ec809a21e31cebe4f6a1,6,official_or_curated_metadata_response_verified
zenodo_phrase_06,zenodo,curated_dataset_repository,"""diachronic Italian""",https://zenodo.org/api/records?q=%22diachronic+Italian%22&size=25,first 25 ranked public metadata records,json,"Find deposited historical, literary, and sonnet datasets.",2026-08-11,200,application/json,ff8a46b9ad3481c754ba06cd4cfd646718b3205ee1df6442a106ae880ef56b8a,0,official_or_curated_metadata_response_verified
